date,/m/01b_06_0,/m/01b_06_1,/m/01b_06_2,/m/01b_06_3,/m/01b_06_4,/m/01b_06_5,/m/01b_06_6,/m/01b_06_7,/m/01b_06_8,/m/01b_06_9,/m/01b_06
2021-02-26,75.0,66.0,54.0,76.0,58.0,51.0,65.0,73.0,65.0,51.0,73.21016166281755
2021-02-27,49.0,65.0,57.0,85.0,79.0,61.0,76.0,63.0,59.0,73.0,77.02078521939954
2021-02-28,77.0,56.0,67.0,53.0,72.0,54.0,69.0,66.0,85.0,91.0,79.67667436489607
2021-03-01,68.0,68.0,75.0,99.0,71.0,93.0,95.0,89.0,89.0,85.0,96.07390300230948
2021-03-02,100.0,77.0,68.0,84.0,57.0,65.0,69.0,71.0,78.0,81.0,86.60508083140878
2021-03-03,68.0,63.0,54.0,77.0,61.0,63.0,71.0,66.0,62.0,81.0,76.905311778291
2021-03-04,73.0,63.0,55.0,64.0,66.0,52.0,59.0,77.0,57.0,79.0,74.48036951501155
2021-03-05,60.0,64.0,50.0,59.0,63.0,40.0,44.0,61.0,34.0,47.0,60.27713625866051
2021-03-06,48.0,72.0,50.0,89.0,65.0,70.0,68.0,80.0,58.0,68.0,77.13625866050809
2021-03-07,59.0,76.0,70.0,60.0,75.0,54.0,79.0,76.0,70.0,52.0,77.48267898383371
2021-03-08,90.0,52.0,69.0,97.0,43.0,67.0,43.0,59.0,72.0,48.0,73.90300230946883
2021-03-09,57.0,65.0,74.0,47.0,52.0,77.0,67.0,68.0,100.0,84.0,79.7921478060046
2021-03-10,42.0,89.0,59.0,64.0,49.0,59.0,55.0,49.0,58.0,61.0,67.55196304849885
2021-03-11,90.0,96.0,100.0,100.0,99.0,27.0,61.0,95.0,71.0,77.0,94.22632794457274
2021-03-12,54.0,48.0,47.0,56.0,73.0,49.0,42.0,69.0,57.0,61.0,64.20323325635104
2021-03-13,52.0,33.0,41.0,34.0,33.0,83.0,46.0,46.0,59.0,42.0,54.157043879907626
2021-03-14,62.0,62.0,73.0,58.0,62.0,51.0,43.0,62.0,66.0,52.0,68.24480369515013
2021-03-15,66.0,59.0,66.0,79.0,60.0,56.0,77.0,72.0,72.0,70.0,78.175519630485
2021-03-16,85.0,92.0,87.0,89.0,100.0,50.0,67.0,83.0,89.0,72.0,93.99538106235568
2021-03-17,59.0,59.0,57.0,47.0,67.0,59.0,68.0,68.0,78.0,85.0,74.71131639722864
2021-03-18,71.0,64.0,74.0,59.0,76.0,79.0,52.0,78.0,61.0,67.0,78.63741339491916
2021-03-19,72.0,61.0,43.0,57.0,53.0,65.0,59.0,66.0,56.0,49.0,67.09006928406467
2021-03-20,55.0,43.0,39.0,58.0,53.0,57.0,46.0,60.0,39.0,70.0,60.04618937644342
2021-03-21,67.0,67.0,55.0,61.0,46.0,65.0,63.0,74.0,67.0,66.0,72.86374133949192
2021-03-22,68.0,59.0,42.0,66.0,80.0,71.0,58.0,55.0,39.0,90.0,72.51732101616629
2021-03-23,81.0,70.0,61.0,62.0,77.0,54.0,67.0,72.0,65.0,68.0,78.175519630485
