date,/g/11j2cc_qll_0,/g/11j2cc_qll_1,/g/11j2cc_qll_2,/g/11j2cc_qll_3,/g/11j2cc_qll_4,/g/11j2cc_qll_5,/g/11j2cc_qll_6,/g/11j2cc_qll_7,/g/11j2cc_qll_8,/g/11j2cc_qll_9,/g/11j2cc_qll
2020-02-01,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0204081632653061,0.0,0.306044376434583
2020-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-08,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0204081632653061,0.0,0.2047188734258359
2020-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-11,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.5066275150437354
2020-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.10132550300874708
2020-02-13,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0408163265306123,1.0,0.9160652618954072
2020-02-14,2.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0408163265306123,0.0,1.1187162679129012
2020-02-15,0.0,3.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0132550300874708
2020-02-16,1.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0408163265306123,1.0,1.4226927769391426
2020-02-17,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.6079530180524825
2020-02-18,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.30397650902624124
2020-02-19,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.20265100601749417
2020-02-20,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.20265100601749417
2020-02-21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0204081632653061,0.0,0.9139973944870656
2020-02-22,4.0,4.0,1.0,1.0,2.0,2.0,0.0,3.0,2.0408163265306123,1.0,2.0306457949916252
2020-02-23,5.0,5.0,3.0,4.0,3.0,3.0,5.0,3.0,5.1020408163265305,5.0,4.164684960400339
2020-02-24,5.0,5.0,5.0,5.0,3.0,6.0,3.0,4.0,5.1020408163265305,6.0,4.772637978452821
