date,/m/0fd23_0,/m/0fd23_1,/m/0fd23_2,/m/0fd23_3,/m/0fd23_4,/m/0fd23_5,/m/0fd23_6,/m/0fd23_7,/m/0fd23_8,/m/0fd23_9,/m/0fd23
2020-02-01,19.0,68.0,21.0,40.0,28.0,53.0,34.0,33.0,59.0,50.0,51.265822784810126
2020-02-02,47.0,28.0,20.0,19.0,45.0,31.0,76.0,16.0,19.0,38.0,42.91139240506329
2020-02-03,16.0,32.0,44.0,33.0,15.0,35.0,46.0,27.0,65.0,74.0,48.98734177215191
2020-02-04,44.0,53.0,58.0,36.0,33.0,49.0,30.0,38.0,71.0,54.0,58.9873417721519
2020-02-05,27.0,18.0,19.0,45.0,17.0,39.0,21.0,15.0,18.0,0.0,27.72151898734177
2020-02-06,36.0,45.0,60.0,56.0,9.0,49.0,53.0,31.0,9.0,28.0,47.59493670886076
2020-02-07,47.0,47.0,41.0,10.0,9.0,42.0,22.0,8.0,28.0,10.0,33.41772151898734
2020-02-08,29.0,29.0,32.0,20.0,37.0,32.0,44.0,33.0,39.0,20.0,39.87341772151899
2020-02-09,75.0,66.0,72.0,19.0,36.0,41.0,76.0,72.0,57.0,38.0,69.87341772151899
2020-02-10,51.0,43.0,65.0,70.0,41.0,76.0,50.0,29.0,26.0,44.0,62.65822784810127
2020-02-11,34.0,34.0,28.0,17.0,16.0,37.0,58.0,29.0,34.0,34.0,40.63291139240506
2020-02-12,25.0,42.0,54.0,52.0,32.0,46.0,48.0,21.0,34.0,43.0,50.253164556962034
2020-02-13,0.0,17.0,38.0,9.0,16.0,10.0,20.0,7.0,26.0,0.0,18.10126582278481
2020-02-14,36.0,36.0,29.0,56.0,51.0,50.0,21.0,39.0,46.0,65.0,54.30379746835443
2020-02-15,30.0,30.0,32.0,41.0,38.0,66.0,35.0,25.0,30.0,41.0,46.58227848101265
2020-02-16,9.0,9.0,51.0,9.0,35.0,10.0,21.0,24.0,37.0,19.0,28.354430379746834
2020-02-17,34.0,17.0,18.0,35.0,16.0,28.0,39.0,29.0,43.0,9.0,33.924050632911396
2020-02-18,34.0,26.0,75.0,26.0,24.0,38.0,50.0,22.0,26.0,9.0,41.77215189873418
2020-02-19,52.0,76.0,56.0,35.0,24.0,74.0,59.0,59.0,52.0,62.0,69.49367088607595
2020-02-20,27.0,54.0,20.0,100.0,42.0,49.0,31.0,46.0,45.0,28.0,55.949367088607595
2020-02-21,64.0,100.0,79.0,56.0,79.0,100.0,31.0,31.0,65.0,47.0,82.53164556962025
2020-02-22,70.0,40.0,98.0,73.0,66.0,44.0,57.0,43.0,51.0,51.0,75.0632911392405
2020-02-23,59.0,79.0,76.0,61.0,56.0,76.0,68.0,50.0,50.0,61.0,80.50632911392405
2020-02-24,43.0,34.0,38.0,18.0,25.0,19.0,40.0,59.0,52.0,35.0,45.94936708860759
2020-02-25,100.0,41.0,55.0,60.0,48.0,47.0,88.0,87.0,68.0,85.0,85.9493670886076
2020-02-26,64.0,57.0,44.0,92.0,23.0,45.0,57.0,48.0,74.0,33.0,67.9746835443038
2020-02-27,33.0,57.0,27.0,41.0,38.0,35.0,46.0,55.0,57.0,58.0,56.58227848101266
2020-02-28,35.0,53.0,39.0,54.0,42.0,49.0,31.0,38.0,45.0,63.0,56.835443037974684
2020-02-29,62.0,44.0,38.0,46.0,50.0,87.0,20.0,38.0,70.0,45.0,63.29113924050633
2020-03-01,43.0,51.0,38.0,52.0,41.0,47.0,40.0,44.0,52.0,53.0,58.35443037974684
2020-03-02,72.0,55.0,52.0,40.0,53.0,60.0,36.0,34.0,40.0,57.0,63.164556962025316
2020-03-03,25.0,85.0,37.0,60.0,40.0,55.0,77.0,7.0,43.0,26.0,57.59493670886076
2020-03-04,32.0,49.0,18.0,58.0,31.0,27.0,28.0,28.0,41.0,34.0,43.79746835443038
2020-03-05,16.0,24.0,35.0,17.0,31.0,26.0,19.0,14.0,32.0,41.0,32.278481012658226
2020-03-06,34.0,43.0,28.0,35.0,64.0,47.0,20.0,14.0,26.0,26.0,42.65822784810127
2020-03-07,28.0,19.0,30.0,57.0,35.0,41.0,32.0,40.0,37.0,38.0,45.18987341772152
2020-03-08,36.0,54.0,89.0,9.0,26.0,49.0,52.0,39.0,27.0,9.0,49.36708860759494
2020-03-09,16.0,32.0,27.0,17.0,31.0,27.0,37.0,14.0,24.0,8.0,29.49367088607595
2020-03-10,42.0,25.0,37.0,35.0,24.0,55.0,29.0,29.0,26.0,35.0,42.65822784810127
2020-03-11,50.0,17.0,9.0,59.0,40.0,82.0,38.0,50.0,34.0,59.0,55.44303797468354
2020-03-12,57.0,56.0,53.0,50.0,31.0,54.0,46.0,49.0,33.0,75.0,63.79746835443038
2020-03-13,43.0,78.0,66.0,54.0,50.0,38.0,100.0,60.0,61.0,54.0,76.45569620253164
2020-03-14,19.0,36.0,40.0,47.0,35.0,30.0,75.0,32.0,28.0,47.0,49.24050632911393
2020-03-15,48.0,56.0,35.0,16.0,60.0,71.0,55.0,34.0,56.0,41.0,59.74683544303797
2020-03-16,30.0,44.0,16.0,23.0,21.0,41.0,51.0,44.0,52.0,8.0,41.77215189873418
2020-03-17,22.0,36.0,40.0,60.0,41.0,40.0,60.0,19.0,37.0,53.0,51.645569620253156
2020-03-18,38.0,30.0,42.0,23.0,51.0,58.0,78.0,32.0,38.0,39.0,54.30379746835443
2020-03-19,63.0,78.0,51.0,97.0,60.0,52.0,45.0,47.0,40.0,32.0,71.51898734177215
2020-03-20,61.0,60.0,100.0,39.0,80.0,66.0,61.0,46.0,69.0,93.0,85.44303797468355
2020-03-21,17.0,26.0,57.0,27.0,42.0,19.0,10.0,30.0,27.0,35.0,36.70886075949367
2020-03-22,84.0,67.0,83.0,34.0,56.0,75.0,78.0,22.0,69.0,52.0,78.48101265822785
2020-03-23,53.0,59.0,29.0,27.0,100.0,72.0,53.0,40.0,80.0,27.0,68.35443037974683
2020-03-24,57.0,35.0,46.0,44.0,60.0,39.0,65.0,49.0,14.0,65.0,60.0
2020-03-25,64.0,28.0,54.0,72.0,68.0,78.0,65.0,36.0,72.0,51.0,74.43037974683544
2020-03-26,74.0,30.0,65.0,53.0,49.0,49.0,68.0,26.0,60.0,54.0,66.83544303797468
2020-03-27,56.0,56.0,23.0,36.0,34.0,62.0,72.0,42.0,50.0,44.0,60.12658227848101
2020-03-28,66.0,49.0,90.0,51.0,55.0,82.0,66.0,100.0,51.0,59.0,84.68354430379748
2020-03-29,75.0,92.0,64.0,60.0,39.0,74.0,48.0,36.0,59.0,60.0,76.83544303797468
2020-03-30,28.0,65.0,23.0,44.0,54.0,54.0,66.0,37.0,58.0,66.0,62.65822784810127
2020-03-31,49.0,76.0,53.0,42.0,26.0,68.0,24.0,24.0,35.0,35.0,54.68354430379747
2020-04-01,7.0,28.0,31.0,15.0,34.0,8.0,16.0,18.0,36.0,44.0,30.0
