date,/m/01b_21_0,/m/01b_21_1,/m/01b_21_2,/m/01b_21_3,/m/01b_21_4,/m/01b_21_5,/m/01b_21_6,/m/01b_21_7,/m/01b_21_8,/m/01b_21_9,/m/01b_21
2020-03-28,19.0,0.0,19.0,32.0,0.0,16.0,56.0,0.0,20.0,45.0,25.39877300613497
2020-03-29,100.0,83.0,97.0,16.0,63.0,32.0,55.0,93.0,59.0,29.0,76.93251533742331
2020-03-30,17.0,30.0,17.0,45.0,44.0,29.0,50.0,0.0,36.0,26.0,36.07361963190184
2020-03-31,17.0,15.0,17.0,44.0,14.0,14.0,0.0,17.0,18.0,0.0,19.141104294478527
2020-04-01,53.0,62.0,54.0,45.0,15.0,15.0,35.0,52.0,37.0,41.0,50.1840490797546
2020-04-02,0.0,30.0,17.0,0.0,0.0,14.0,0.0,17.0,18.0,13.0,13.374233128834355
2020-04-03,0.0,15.0,18.0,0.0,15.0,0.0,18.0,0.0,19.0,0.0,10.429447852760736
2020-04-04,42.0,18.0,43.0,18.0,17.0,35.0,0.0,21.0,44.0,16.0,31.165644171779142
2020-04-05,43.0,18.0,21.0,37.0,17.0,18.0,21.0,0.0,22.0,0.0,24.171779141104295
2020-04-06,0.0,14.0,32.0,0.0,0.0,13.0,0.0,0.0,34.0,12.0,12.883435582822086
2020-04-07,34.0,59.0,34.0,14.0,0.0,14.0,50.0,49.0,36.0,13.0,37.17791411042945
2020-04-08,18.0,46.0,72.0,16.0,15.0,29.0,35.0,0.0,0.0,14.0,30.061349693251532
2020-04-09,56.0,0.0,0.0,32.0,46.0,0.0,18.0,0.0,0.0,29.0,22.208588957055216
2020-04-10,19.0,32.0,38.0,0.0,15.0,0.0,0.0,18.0,40.0,0.0,19.87730061349693
2020-04-11,21.0,36.0,20.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,13.496932515337424
2020-04-12,0.0,37.0,64.0,18.0,69.0,17.0,21.0,0.0,23.0,63.0,38.282208588957054
2020-04-13,0.0,16.0,0.0,0.0,16.0,16.0,19.0,0.0,20.0,14.0,12.392638036809815
2020-04-14,0.0,0.0,17.0,30.0,14.0,15.0,17.0,35.0,18.0,27.0,21.226993865030675
2020-04-15,37.0,0.0,0.0,16.0,15.0,30.0,0.0,37.0,0.0,14.0,18.282208588957054
2020-04-16,0.0,16.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,5.889570552147239
