date,/m/0cjf0_0,/m/0cjf0_1,/m/0cjf0_2,/m/0cjf0_3,/m/0cjf0_4,/m/0cjf0_5,/m/0cjf0_6,/m/0cjf0_7,/m/0cjf0_8,/m/0cjf0_9,/m/0cjf0
2021-05-18,65.0,73.0,75.0,46.0,52.0,60.0,35.0,41.0,47.0,45.0,66.7905824039653
2021-05-19,90.0,86.0,100.0,51.0,67.0,52.0,51.0,66.0,35.0,80.0,84.01486988847583
2021-05-20,53.0,30.0,48.0,41.0,35.0,60.0,53.0,55.0,48.0,45.0,57.99256505576208
2021-05-21,54.0,53.0,42.0,89.0,53.0,55.0,48.0,56.0,36.0,72.0,69.1449814126394
2021-05-22,61.0,90.0,36.0,48.0,53.0,43.0,55.0,57.0,49.0,40.0,65.92317224287484
2021-05-23,43.0,65.0,53.0,38.0,57.0,46.0,52.0,38.0,52.0,50.0,61.21437422552664
2021-05-24,46.0,44.0,55.0,57.0,23.0,60.0,59.0,21.0,41.0,32.0,54.27509293680297
2021-05-25,19.0,36.0,40.0,22.0,22.0,23.0,57.0,40.0,51.0,50.0,44.60966542750929
2021-05-26,13.0,43.0,40.0,45.0,67.0,76.0,46.0,13.0,29.0,69.0,54.646840148698885
2021-05-27,60.0,37.0,78.0,36.0,35.0,55.0,48.0,42.0,60.0,58.0,63.073110285006194
