date,/m/0405g08_0,/m/0405g08_1,/m/0405g08_2,/m/0405g08_3,/m/0405g08_4,/m/0405g08_5,/m/0405g08_6,/m/0405g08_7,/m/0405g08_8,/m/0405g08_9,/m/0405g08
2021-04-18,90.0,48.0,77.0,90.0,45.0,46.0,85.0,42.0,97.0,67.0,77.01793721973094
2021-04-19,0.0,21.0,23.0,27.0,27.0,20.0,15.0,18.0,0.0,30.0,20.291479820627803
2021-04-20,0.0,0.0,0.0,27.0,0.0,20.0,15.0,18.0,42.0,45.0,18.7219730941704
2021-04-21,0.0,43.0,68.0,52.0,40.0,40.0,15.0,19.0,21.0,15.0,35.08968609865471
2021-04-22,28.0,44.0,47.0,0.0,41.0,21.0,31.0,38.0,22.0,16.0,32.28699551569507
2021-04-23,28.0,0.0,24.0,56.0,0.0,22.0,16.0,19.0,0.0,32.0,22.08520179372197
2021-04-24,0.0,0.0,26.0,0.0,0.0,46.0,17.0,0.0,0.0,0.0,9.977578475336323
2021-04-25,0.0,46.0,0.0,85.0,29.0,22.0,65.0,0.0,70.0,49.0,41.03139013452915
2021-04-26,49.0,39.0,21.0,48.0,25.0,19.0,14.0,85.0,38.0,41.0,42.48878923766816
2021-04-27,74.0,98.0,21.0,49.0,50.0,38.0,42.0,17.0,60.0,56.0,56.61434977578475
2021-04-28,50.0,80.0,65.0,49.0,25.0,38.0,28.0,51.0,79.0,28.0,55.26905829596412
2021-04-29,0.0,20.0,22.0,0.0,13.0,0.0,28.0,0.0,41.0,14.0,15.470852017937219
2021-04-30,25.0,40.0,0.0,75.0,0.0,78.0,14.0,34.0,60.0,28.0,39.686098654708516
2021-05-01,53.0,62.0,0.0,0.0,40.0,60.0,30.0,36.0,21.0,30.0,37.21973094170404
2021-05-02,0.0,45.0,72.0,28.0,0.0,44.0,16.0,59.0,46.0,32.0,38.3408071748879
2021-05-03,27.0,65.0,46.0,80.0,27.0,20.0,30.0,37.0,22.0,30.0,43.049327354260086
2021-05-04,78.0,0.0,43.0,50.0,0.0,39.0,0.0,35.0,41.0,14.0,33.63228699551569
2021-05-05,51.0,21.0,44.0,78.0,39.0,59.0,15.0,0.0,21.0,43.0,41.591928251121075
2021-05-06,26.0,21.0,66.0,51.0,25.0,0.0,15.0,35.0,21.0,14.0,30.717488789237667
2021-05-07,0.0,43.0,23.0,27.0,13.0,0.0,0.0,56.0,0.0,31.0,21.63677130044843
2021-05-08,31.0,0.0,26.0,31.0,15.0,0.0,17.0,0.0,0.0,17.0,15.358744394618833
2021-05-09,0.0,65.0,23.0,27.0,14.0,41.0,15.0,0.0,0.0,15.0,22.42152466367713
2021-05-10,25.0,20.0,22.0,0.0,25.0,19.0,29.0,35.0,41.0,43.0,29.03587443946188
2021-05-11,25.0,0.0,63.0,24.0,0.0,19.0,14.0,17.0,20.0,0.0,20.403587443946186
2021-05-12,49.0,20.0,21.0,0.0,0.0,38.0,42.0,17.0,20.0,28.0,26.345291479820627
2021-05-13,0.0,42.0,90.0,26.0,26.0,100.0,30.0,36.0,64.0,15.0,48.09417040358744
2021-05-14,0.0,43.0,0.0,27.0,14.0,21.0,0.0,38.0,0.0,16.0,17.82511210762332
2021-05-15,0.0,42.0,23.0,26.0,26.0,61.0,15.0,0.0,21.0,15.0,25.672645739910312
2021-05-16,26.0,42.0,90.0,79.0,40.0,60.0,29.0,36.0,42.0,59.0,56.39013452914798
2021-05-17,0.0,20.0,0.0,0.0,13.0,20.0,14.0,17.0,0.0,15.0,11.09865470852018
2021-05-18,0.0,0.0,64.0,50.0,13.0,19.0,43.0,35.0,41.0,57.0,36.098654708520186
2021-05-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-20,28.0,22.0,24.0,28.0,14.0,21.0,16.0,19.0,0.0,16.0,21.076233183856502
2021-05-21,25.0,0.0,0.0,0.0,0.0,19.0,0.0,17.0,0.0,0.0,6.838565022421524
2021-05-22,0.0,21.0,46.0,0.0,0.0,62.0,15.0,0.0,22.0,30.0,21.973094170403588
2021-05-23,29.0,0.0,0.0,57.0,43.0,44.0,0.0,20.0,0.0,0.0,21.63677130044843
2021-05-24,100.0,100.0,64.0,100.0,100.0,95.0,100.0,52.0,81.0,100.0,100.0
2021-05-25,0.0,20.0,0.0,25.0,0.0,0.0,0.0,18.0,0.0,0.0,7.062780269058296
2021-05-26,51.0,63.0,67.0,77.0,39.0,0.0,29.0,53.0,42.0,0.0,47.19730941704036
2021-05-27,27.0,63.0,23.0,26.0,27.0,20.0,30.0,0.0,42.0,0.0,28.923766816143498
2021-05-28,54.0,22.0,23.0,81.0,0.0,21.0,31.0,0.0,21.0,30.0,31.72645739910314
2021-05-29,28.0,45.0,24.0,0.0,14.0,21.0,32.0,38.0,23.0,16.0,27.01793721973094
2021-05-30,87.0,46.0,100.0,58.0,58.0,22.0,99.0,100.0,47.0,33.0,72.86995515695067
2021-05-31,51.0,60.0,21.0,75.0,13.0,57.0,14.0,35.0,100.0,57.0,54.147982062780265
