date,/m/05w_j_0,/m/05w_j_1,/m/05w_j_2,/m/05w_j_3,/m/05w_j_4,/m/05w_j_5,/m/05w_j_6,/m/05w_j_7,/m/05w_j_8,/m/05w_j_9,/m/05w_j
2020-03-30,12.0,0.0,12.0,18.0,18.0,14.0,9.0,12.0,0.0,10.0,11.65371809100999
2020-03-31,0.0,0.0,12.0,17.0,18.0,0.0,0.0,12.0,0.0,0.0,6.548279689234184
2020-04-01,13.0,31.0,25.0,18.0,37.0,0.0,0.0,13.0,10.0,10.0,17.42508324084351
2020-04-02,12.0,15.0,25.0,0.0,0.0,28.0,0.0,12.0,19.0,10.0,13.429522752497226
2020-04-03,13.0,0.0,13.0,0.0,19.0,0.0,0.0,13.0,10.0,0.0,7.547169811320755
2020-04-04,0.0,0.0,0.0,0.0,21.0,17.0,0.0,14.0,11.0,0.0,6.992230854605994
2020-04-05,15.0,18.0,15.0,22.0,22.0,35.0,11.0,15.0,0.0,0.0,16.9811320754717
2020-04-06,0.0,14.0,12.0,33.0,17.0,13.0,8.0,23.0,9.0,9.0,15.316315205327415
2020-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-08,13.0,31.0,13.0,18.0,38.0,45.0,18.0,13.0,30.0,21.0,26.637069922308548
2020-04-09,13.0,31.0,13.0,18.0,19.0,15.0,18.0,0.0,0.0,10.0,15.205327413984463
2020-04-10,0.0,16.0,0.0,0.0,19.0,15.0,0.0,0.0,20.0,10.0,8.879023307436183
2020-04-11,14.0,0.0,15.0,61.0,42.0,34.0,10.0,28.0,22.0,11.0,26.30410654827969
2020-04-12,0.0,18.0,0.0,20.0,0.0,17.0,10.0,0.0,11.0,0.0,8.435072142064373
2020-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-14,37.0,15.0,25.0,18.0,37.0,0.0,26.0,25.0,10.0,30.0,24.75027746947836
2020-04-15,13.0,16.0,0.0,19.0,19.0,0.0,9.0,26.0,10.0,0.0,12.430632630410656
