date,/m/0cjf0_0,/m/0cjf0_1,/m/0cjf0_2,/m/0cjf0_3,/m/0cjf0_4,/m/0cjf0_5,/m/0cjf0_6,/m/0cjf0_7,/m/0cjf0_8,/m/0cjf0_9,/m/0cjf0
2021-02-26,100.0,42.0,0.0,18.0,21.0,43.0,39.0,18.0,64.0,74.0,68.80131362889983
2021-02-27,45.0,0.0,0.0,20.0,0.0,0.0,22.0,19.0,0.0,0.0,17.4055829228243
2021-02-28,21.0,22.0,37.0,19.0,65.0,45.0,63.0,37.0,22.0,26.0,58.62068965517242
2021-03-01,21.0,0.0,0.0,0.0,0.0,22.0,21.0,18.0,0.0,25.0,17.569786535303777
2021-03-02,21.0,22.0,0.0,38.0,21.0,66.0,0.0,36.0,44.0,26.0,44.99178981937603
2021-03-03,0.0,0.0,0.0,0.0,0.0,44.0,20.0,18.0,21.0,0.0,16.912972085385878
2021-03-04,61.0,0.0,35.0,36.0,21.0,21.0,40.0,17.0,43.0,24.0,48.93267651888342
2021-03-05,41.0,21.0,17.0,0.0,0.0,43.0,20.0,17.0,21.0,24.0,33.497536945812804
2021-03-06,44.0,45.0,18.0,19.0,67.0,46.0,21.0,37.0,22.0,0.0,52.38095238095238
2021-03-07,64.0,23.0,19.0,39.0,22.0,46.0,43.0,37.0,0.0,0.0,48.11165845648604
2021-03-08,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,7.224958949096881
2021-03-09,21.0,21.0,0.0,55.0,21.0,0.0,40.0,17.0,43.0,50.0,44.00656814449918
2021-03-10,40.0,20.0,0.0,18.0,41.0,42.0,39.0,0.0,21.0,24.0,40.229885057471265
2021-03-11,60.0,62.0,17.0,18.0,41.0,42.0,39.0,35.0,0.0,73.0,63.54679802955666
2021-03-12,21.0,0.0,18.0,0.0,0.0,22.0,0.0,18.0,22.0,76.0,29.064039408866996
2021-03-13,40.0,41.0,35.0,36.0,62.0,85.0,77.0,17.0,42.0,0.0,71.42857142857143
2021-03-14,19.0,19.0,16.0,50.0,19.0,40.0,18.0,49.0,0.0,91.0,52.70935960591133
2021-03-15,47.0,49.0,14.0,29.0,32.0,34.0,31.0,27.0,66.0,38.0,60.26272577996717
2021-03-16,18.0,0.0,15.0,16.0,36.0,0.0,18.0,15.0,37.0,22.0,29.064039408866996
2021-03-17,20.0,20.0,34.0,18.0,0.0,21.0,20.0,70.0,41.0,48.0,47.94745484400657
2021-03-18,63.0,22.0,18.0,38.0,42.0,22.0,61.0,36.0,22.0,76.0,65.68144499178982
2021-03-19,63.0,22.0,36.0,19.0,21.0,22.0,0.0,54.0,22.0,49.0,50.57471264367816
2021-03-20,22.0,23.0,38.0,0.0,45.0,46.0,44.0,19.0,46.0,0.0,46.4696223316913
2021-03-21,21.0,0.0,35.0,19.0,42.0,44.0,20.0,18.0,22.0,74.0,48.44006568144499
2021-03-22,0.0,0.0,17.0,18.0,41.0,0.0,20.0,17.0,62.0,48.0,36.61740558292283
2021-03-23,61.0,43.0,35.0,0.0,21.0,65.0,40.0,35.0,21.0,74.0,64.86042692939245
2021-03-24,0.0,64.0,0.0,56.0,64.0,0.0,41.0,53.0,0.0,25.0,49.75369458128079
2021-03-25,21.0,0.0,35.0,37.0,42.0,22.0,20.0,0.0,22.0,25.0,36.7816091954023
2021-03-26,0.0,0.0,0.0,38.0,0.0,0.0,21.0,0.0,22.0,52.0,21.839080459770116
2021-03-27,64.0,22.0,0.0,19.0,22.0,23.0,0.0,18.0,22.0,0.0,31.198686371100166
2021-03-28,23.0,0.0,19.0,62.0,23.0,24.0,66.0,39.0,48.0,0.0,49.917898193760266
2021-03-29,21.0,22.0,0.0,37.0,43.0,0.0,21.0,18.0,22.0,25.0,34.31855500821018
2021-03-30,44.0,44.0,19.0,20.0,22.0,46.0,22.0,75.0,45.0,80.0,68.47290640394088
2021-03-31,62.0,85.0,71.0,57.0,64.0,65.0,20.0,18.0,44.0,100.0,96.22331691297208
2021-04-01,64.0,66.0,72.0,19.0,42.0,46.0,42.0,19.0,45.0,26.0,72.41379310344827
2021-04-02,0.0,22.0,18.0,19.0,22.0,0.0,0.0,0.0,0.0,26.0,17.569786535303777
2021-04-03,22.0,45.0,19.0,58.0,23.0,0.0,22.0,0.0,45.0,53.0,47.12643678160919
2021-04-04,22.0,67.0,19.0,20.0,68.0,46.0,22.0,0.0,91.0,27.0,62.72577996715928
2021-04-05,0.0,0.0,16.0,51.0,39.0,60.0,56.0,0.0,20.0,46.0,47.29064039408867
2021-04-06,68.0,53.0,100.0,30.0,85.0,73.0,68.0,15.0,18.0,82.0,97.20853858784893
2021-04-07,17.0,55.0,45.0,48.0,71.0,75.0,69.0,45.0,55.0,64.0,89.32676518883416
2021-04-08,18.0,19.0,16.0,0.0,37.0,0.0,0.0,32.0,0.0,22.0,23.645320197044335
2021-04-09,18.0,19.0,31.0,16.0,19.0,39.0,55.0,47.0,39.0,45.0,53.85878489326765
2021-04-10,0.0,40.0,17.0,17.0,0.0,21.0,19.0,34.0,41.0,47.0,38.752052545156
2021-04-11,0.0,0.0,16.0,0.0,19.0,0.0,0.0,0.0,20.0,0.0,9.0311986863711
2021-04-12,19.0,19.0,49.0,34.0,77.0,40.0,37.0,49.0,20.0,23.0,60.26272577996717
2021-04-13,19.0,0.0,33.0,17.0,19.0,20.0,19.0,16.0,20.0,69.0,38.095238095238095
2021-04-14,20.0,20.0,34.0,53.0,0.0,42.0,0.0,17.0,20.0,47.0,41.54351395730706
2021-04-15,0.0,41.0,34.0,36.0,0.0,64.0,39.0,34.0,42.0,48.0,55.50082101806239
2021-04-16,59.0,0.0,17.0,35.0,21.0,21.0,38.0,0.0,42.0,23.0,42.03612479474548
2021-04-17,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,22.0,26.0,11.001642036124794
2021-04-18,60.0,62.0,52.0,91.0,21.0,65.0,100.0,35.0,63.0,49.0,98.19376026272579
2021-04-19,38.0,79.0,16.0,17.0,19.0,20.0,37.0,33.0,39.0,46.0,56.48604269293924
2021-04-20,20.0,0.0,34.0,36.0,82.0,22.0,40.0,35.0,22.0,0.0,47.783251231527096
2021-04-21,20.0,0.0,35.0,0.0,63.0,43.0,40.0,18.0,21.0,50.0,47.61904761904762
2021-04-22,41.0,21.0,18.0,38.0,21.0,22.0,0.0,18.0,0.0,0.0,29.39244663382594
2021-04-23,42.0,43.0,71.0,19.0,22.0,91.0,63.0,37.0,44.0,77.0,83.57963875205255
2021-04-24,0.0,23.0,0.0,0.0,0.0,0.0,45.0,19.0,24.0,27.0,22.660098522167488
2021-04-25,0.0,44.0,37.0,19.0,43.0,22.0,21.0,18.0,0.0,26.0,37.76683087027914
2021-04-26,37.0,20.0,16.0,17.0,38.0,0.0,55.0,16.0,19.0,23.0,39.57307060755337
2021-04-27,38.0,20.0,16.0,52.0,19.0,41.0,19.0,17.0,61.0,0.0,46.4696223316913
2021-04-28,19.0,58.0,16.0,100.0,39.0,40.0,74.0,65.0,39.0,23.0,77.66830870279146
2021-04-29,0.0,19.0,0.0,0.0,19.0,20.0,18.0,31.0,0.0,0.0,17.569786535303777
