date,/g/121j1nlf_0,/g/121j1nlf_1,/g/121j1nlf_2,/g/121j1nlf_3,/g/121j1nlf_4,/g/121j1nlf_5,/g/121j1nlf_6,/g/121j1nlf_7,/g/121j1nlf_8,/g/121j1nlf_9,/g/121j1nlf
2021-04-18,48.0,32.0,25.0,46.0,36.0,42.0,30.0,39.0,39.0,44.0,39.93710691823899
2021-04-19,42.0,51.0,64.0,65.0,55.0,50.0,42.0,34.0,72.0,41.0,54.088050314465406
2021-04-20,43.0,52.0,40.0,41.0,48.0,34.0,37.0,39.0,56.0,59.0,47.064989517819704
2021-04-21,44.0,48.0,46.0,45.0,43.0,44.0,38.0,37.0,53.0,69.0,48.95178197064989
2021-04-22,43.0,53.0,53.0,45.0,45.0,57.0,30.0,37.0,43.0,61.0,48.95178197064989
2021-04-23,50.0,45.0,43.0,54.0,52.0,40.0,40.0,61.0,59.0,69.0,53.77358490566037
2021-04-24,52.0,44.0,37.0,35.0,49.0,54.0,27.0,52.0,51.0,59.0,48.21802935010482
2021-04-25,25.0,37.0,29.0,20.0,26.0,44.0,32.0,30.0,19.0,39.0,31.551362683438153
2021-04-26,32.0,25.0,35.0,24.0,34.0,35.0,22.0,32.0,31.0,41.0,32.59958071278826
2021-04-27,31.0,36.0,29.0,33.0,44.0,35.0,25.0,42.0,46.0,50.0,38.888888888888886
2021-04-28,66.0,70.0,58.0,67.0,55.0,59.0,50.0,79.0,70.0,65.0,66.98113207547169
2021-04-29,48.0,51.0,52.0,64.0,59.0,44.0,41.0,55.0,56.0,78.0,57.44234800838574
2021-04-30,45.0,68.0,55.0,67.0,62.0,71.0,57.0,59.0,66.0,72.0,65.19916142557652
2021-05-01,39.0,61.0,44.0,37.0,55.0,56.0,42.0,46.0,42.0,52.0,49.685534591194966
2021-05-02,25.0,25.0,33.0,27.0,28.0,25.0,24.0,23.0,36.0,32.0,29.140461215932913
2021-05-03,64.0,78.0,69.0,72.0,62.0,88.0,75.0,60.0,83.0,70.0,75.57651991614254
2021-05-04,62.0,63.0,59.0,65.0,73.0,73.0,41.0,56.0,77.0,85.0,68.55345911949686
2021-05-05,39.0,46.0,52.0,47.0,51.0,74.0,50.0,39.0,60.0,55.0,53.77358490566037
2021-05-06,68.0,68.0,59.0,60.0,65.0,63.0,63.0,65.0,65.0,76.0,68.34381551362684
2021-05-07,53.0,70.0,83.0,79.0,83.0,70.0,64.0,77.0,84.0,87.0,78.61635220125785
2021-05-08,44.0,46.0,37.0,37.0,51.0,68.0,47.0,53.0,58.0,68.0,53.35429769392033
2021-05-09,51.0,45.0,37.0,56.0,37.0,43.0,48.0,43.0,49.0,41.0,47.16981132075471
2021-05-10,46.0,65.0,45.0,52.0,52.0,59.0,51.0,54.0,78.0,54.0,58.280922431865825
2021-05-11,88.0,83.0,81.0,80.0,87.0,85.0,84.0,68.0,75.0,75.0,84.48637316561843
2021-05-12,100.0,100.0,100.0,100.0,100.0,100.0,100.0,67.0,100.0,87.0,100.0
2021-05-13,65.0,70.0,41.0,63.0,74.0,71.0,62.0,76.0,72.0,71.0,69.70649895178197
2021-05-14,73.0,80.0,67.0,65.0,84.0,66.0,44.0,62.0,62.0,78.0,71.38364779874212
2021-05-15,73.0,45.0,52.0,71.0,57.0,60.0,60.0,75.0,76.0,71.0,67.0859538784067
2021-05-16,37.0,65.0,37.0,40.0,48.0,59.0,38.0,52.0,62.0,56.0,51.78197064989517
2021-05-17,65.0,92.0,61.0,80.0,74.0,79.0,68.0,64.0,88.0,92.0,79.979035639413
2021-05-18,74.0,66.0,41.0,54.0,52.0,55.0,55.0,53.0,74.0,53.0,60.482180293501045
2021-05-19,62.0,71.0,63.0,64.0,50.0,55.0,51.0,50.0,40.0,96.0,63.10272536687631
2021-05-20,73.0,81.0,92.0,81.0,94.0,84.0,62.0,100.0,84.0,90.0,88.15513626834381
2021-05-21,42.0,66.0,60.0,38.0,32.0,52.0,64.0,52.0,91.0,50.0,57.33752620545073
2021-05-22,47.0,66.0,44.0,29.0,25.0,49.0,35.0,55.0,50.0,50.0,47.16981132075471
2021-05-23,22.0,42.0,18.0,45.0,31.0,26.0,37.0,38.0,28.0,42.0,34.486373165618446
2021-05-24,45.0,47.0,46.0,44.0,45.0,50.0,39.0,32.0,48.0,62.0,48.0083857442348
2021-05-25,64.0,78.0,50.0,52.0,61.0,46.0,60.0,60.0,68.0,94.0,66.35220125786164
2021-05-26,51.0,34.0,55.0,59.0,57.0,47.0,39.0,47.0,42.0,52.0,50.62893081761006
2021-05-27,54.0,84.0,74.0,71.0,80.0,79.0,69.0,87.0,50.0,100.0,78.40670859538784
2021-05-28,67.0,98.0,69.0,83.0,76.0,80.0,85.0,70.0,64.0,72.0,80.08385744234802
2021-05-29,45.0,45.0,36.0,39.0,30.0,45.0,42.0,30.0,40.0,45.0,41.61425576519916
2021-05-30,31.0,46.0,32.0,41.0,41.0,39.0,29.0,35.0,49.0,51.0,41.299790356394126
2021-05-31,49.0,48.0,61.0,46.0,55.0,36.0,44.0,60.0,39.0,55.0,51.677148846960165
