date,/g/121j1nlf_0,/g/121j1nlf_1,/g/121j1nlf_2,/g/121j1nlf_3,/g/121j1nlf_4,/g/121j1nlf_5,/g/121j1nlf_6,/g/121j1nlf_7,/g/121j1nlf_8,/g/121j1nlf_9,/g/121j1nlf
2021-04-18,44.0,46.0,48.0,38.0,45.0,41.0,42.0,49.0,45.0,43.0,45.04596527068437
2021-04-19,81.0,68.0,75.0,82.0,74.0,65.0,70.0,85.0,68.0,73.0,75.68947906026557
2021-04-20,84.0,70.0,80.0,72.0,81.0,75.0,68.0,82.0,76.0,79.0,78.34525025536261
2021-04-21,42.0,60.0,66.0,52.0,57.0,52.0,53.0,62.0,39.0,46.0,54.03472931562819
2021-04-22,66.0,54.0,72.0,63.0,59.0,57.0,57.0,51.0,66.0,59.0,61.69560776302349
2021-04-23,54.0,52.0,58.0,59.0,53.0,44.0,47.0,60.0,41.0,55.0,53.42185903983656
2021-04-24,38.0,39.0,44.0,30.0,24.0,29.0,37.0,32.0,36.0,36.0,35.24004085801838
2021-04-25,31.0,33.0,24.0,31.0,38.0,32.0,25.0,33.0,37.0,34.0,32.48212461695608
2021-04-26,50.0,46.0,57.0,49.0,52.0,53.0,43.0,46.0,43.0,42.0,49.1317671092952
2021-04-27,61.0,58.0,69.0,52.0,58.0,59.0,45.0,55.0,57.0,65.0,59.14198161389172
2021-04-28,57.0,60.0,63.0,56.0,66.0,56.0,54.0,57.0,47.0,56.0,58.42696629213483
2021-04-29,50.0,56.0,55.0,58.0,64.0,64.0,56.0,61.0,55.0,60.0,59.14198161389172
2021-04-30,74.0,86.0,80.0,81.0,74.0,78.0,76.0,74.0,62.0,66.0,76.71092951991827
2021-05-01,56.0,63.0,76.0,65.0,70.0,77.0,79.0,73.0,61.0,69.0,70.3779366700715
2021-05-02,54.0,52.0,50.0,36.0,46.0,56.0,43.0,53.0,47.0,61.0,50.868232890704796
2021-05-03,77.0,70.0,88.0,65.0,67.0,63.0,69.0,66.0,71.0,66.0,71.70582226762002
2021-05-04,61.0,59.0,76.0,48.0,71.0,58.0,54.0,56.0,45.0,42.0,58.22267620020428
2021-05-05,61.0,63.0,59.0,57.0,63.0,55.0,54.0,66.0,71.0,57.0,61.899897854954034
2021-05-06,62.0,89.0,90.0,79.0,80.0,71.0,62.0,63.0,79.0,75.0,76.60878447395301
2021-05-07,64.0,71.0,80.0,79.0,77.0,79.0,61.0,65.0,76.0,84.0,75.1787538304392
2021-05-08,58.0,66.0,51.0,55.0,49.0,41.0,41.0,54.0,38.0,50.0,51.37895812053115
2021-05-09,32.0,55.0,55.0,51.0,38.0,55.0,37.0,35.0,45.0,46.0,45.86312563840654
2021-05-10,74.0,84.0,86.0,88.0,87.0,81.0,71.0,70.0,76.0,79.0,81.30745658835545
2021-05-11,100.0,91.0,97.0,91.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2021-05-12,97.0,99.0,99.0,90.0,82.0,86.0,91.0,85.0,93.0,83.0,92.44126659856997
2021-05-13,72.0,68.0,67.0,82.0,76.0,66.0,73.0,70.0,65.0,69.0,72.31869254341164
2021-05-14,81.0,58.0,62.0,61.0,63.0,69.0,66.0,72.0,51.0,73.0,67.00715015321755
2021-05-15,52.0,71.0,71.0,70.0,74.0,52.0,58.0,60.0,61.0,63.0,64.55566905005107
2021-05-16,45.0,66.0,57.0,55.0,59.0,49.0,50.0,48.0,61.0,49.0,55.056179775280896
2021-05-17,81.0,94.0,89.0,81.0,85.0,78.0,75.0,94.0,79.0,73.0,84.67824310520939
2021-05-18,69.0,77.0,78.0,77.0,75.0,65.0,79.0,75.0,86.0,73.0,77.0173646578141
2021-05-19,63.0,63.0,63.0,74.0,71.0,63.0,64.0,61.0,67.0,72.0,67.51787538304391
2021-05-20,75.0,53.0,84.0,81.0,82.0,73.0,83.0,82.0,76.0,72.0,77.73237997957098
2021-05-21,71.0,68.0,57.0,69.0,67.0,53.0,63.0,69.0,62.0,69.0,66.1899897854954
2021-05-22,48.0,70.0,55.0,49.0,53.0,54.0,52.0,49.0,50.0,50.0,54.136874361593456
2021-05-23,41.0,43.0,39.0,45.0,36.0,33.0,48.0,37.0,37.0,38.0,40.55158324821247
2021-05-24,48.0,66.0,62.0,44.0,58.0,43.0,46.0,47.0,43.0,48.0,51.58324821246169
2021-05-25,84.0,100.0,99.0,78.0,93.0,78.0,85.0,98.0,92.0,76.0,90.19407558733401
2021-05-26,72.0,70.0,93.0,98.0,73.0,68.0,72.0,75.0,78.0,60.0,77.52808988764045
2021-05-27,88.0,94.0,97.0,100.0,93.0,82.0,87.0,78.0,73.0,82.0,89.27477017364657
2021-05-28,91.0,94.0,100.0,95.0,84.0,88.0,88.0,86.0,90.0,76.0,91.11338100102145
2021-05-29,47.0,54.0,68.0,67.0,57.0,60.0,44.0,50.0,55.0,48.0,56.17977528089887
2021-05-30,50.0,48.0,56.0,58.0,49.0,49.0,40.0,46.0,49.0,40.0,49.54034729315628
2021-05-31,76.0,84.0,80.0,86.0,82.0,86.0,67.0,77.0,69.0,74.0,79.77528089887639
