date,/m/0g9pc_0,/m/0g9pc_1,/m/0g9pc_2,/m/0g9pc_3,/m/0g9pc_4,/m/0g9pc_5,/m/0g9pc_6,/m/0g9pc_7,/m/0g9pc_8,/m/0g9pc_9,/m/0g9pc
2021-01-12,62.0,70.0,72.0,72.0,82.0,62.0,57.0,98.73417721518987,69.0,70.0,87.2596896828831
2021-01-13,83.0,100.0,100.0,79.0,95.0,78.0,73.0,67.0886075949367,66.0,78.0,100.0
2021-01-14,67.0,85.0,65.0,75.0,70.0,89.0,83.0,88.60759493670886,81.0,76.0,95.17988502194476
2021-01-15,49.0,66.0,89.0,62.0,67.0,86.0,63.0,60.75949367088607,100.0,76.0,87.75112814489708
2021-01-16,59.0,31.0,36.0,59.0,28.0,73.0,45.0,48.10126582278481,59.0,41.0,58.49199480744267
2021-01-17,85.0,45.0,59.0,68.0,67.0,35.0,61.0,55.69620253164557,75.0,60.0,74.55801446498116
2021-01-18,73.0,75.0,70.0,49.0,66.0,91.0,53.0,69.62025316455696,67.0,54.0,81.50769611176362
2021-01-19,67.0,88.0,90.0,84.0,93.0,30.0,50.0,77.21518987341773,54.0,83.0,87.440501947209
2021-01-20,38.0,59.0,39.0,68.0,76.0,66.0,34.0,41.77215189873418,59.0,62.0,66.26537676948755
2021-01-21,57.0,49.0,74.0,56.0,60.0,57.0,62.0,56.962025316455694,74.0,62.0,74.22420720776412
2021-01-22,65.0,50.0,68.0,54.0,47.0,66.0,45.0,58.22784810126582,49.0,71.0,69.98361871793288
2021-01-23,82.0,99.0,55.0,61.0,74.0,75.0,58.0,78.48101265822785,75.0,44.0,85.64165172776165
2021-01-24,100.0,80.0,81.0,57.0,100.0,92.0,41.0,46.835443037974684,74.0,55.0,88.73709587686221
2021-01-25,76.0,88.0,83.0,58.0,74.0,79.0,100.0,67.0886075949367,66.0,58.0,91.45391605365643
2021-01-26,70.0,75.0,57.0,49.0,60.0,69.0,56.0,91.13924050632912,74.0,69.0,81.81523150151449
2021-01-27,95.0,80.0,70.0,58.0,74.0,79.0,79.0,81.0126582278481,76.0,78.0,94.00846881374791
2021-01-28,50.0,46.0,71.0,63.0,42.0,46.0,39.0,30.379746835443036,75.0,59.0,63.65364406255795
2021-01-29,49.0,64.0,58.0,57.0,58.0,62.0,58.0,77.21518987341773,52.0,36.0,69.7378994869259
2021-01-30,73.0,84.0,50.0,67.0,73.0,97.0,55.0,89.87341772151899,62.0,83.0,89.59634048340237
2021-01-31,73.0,82.0,77.0,88.0,75.0,87.0,47.0,100.0,84.0,75.0,96.20448785312482
2021-02-01,89.0,68.0,73.0,71.0,75.0,64.0,81.0,97.46835443037975,87.0,82.0,96.13958088644374
2021-02-02,69.0,90.0,83.0,68.0,60.0,67.0,47.0,69.62025316455696,89.0,98.0,90.42004079866479
2021-02-03,61.0,35.0,42.0,30.0,43.0,59.0,40.0,58.22784810126582,49.0,63.0,58.62953576064783
2021-02-04,78.0,66.0,75.0,59.0,85.0,100.0,45.0,83.54430379746836,58.0,69.0,87.72485627743094
2021-02-05,59.0,40.0,66.0,70.0,72.0,87.0,55.0,87.34177215189874,76.0,85.0,85.1363046300303
2021-02-06,45.0,37.0,45.0,28.0,34.0,47.0,30.0,41.77215189873418,34.0,43.0,46.97564443345491
2021-02-07,49.0,55.0,41.0,51.0,47.0,73.0,73.0,74.68354430379746,41.0,58.0,68.69629721209124
2021-02-08,72.0,71.0,82.0,100.0,66.0,97.0,41.0,86.07594936708861,90.0,85.0,96.45793410397478
2021-02-09,62.0,19.0,53.0,55.0,56.0,37.0,52.0,59.49367088607595,53.0,37.0,59.028249984545965
2021-02-10,65.0,80.0,76.0,60.0,59.0,89.0,61.0,39.24050632911393,66.0,71.0,81.3392470791865
2021-02-11,76.0,37.0,59.0,51.0,65.0,70.0,49.0,59.49367088607595,69.0,60.0,72.70198429869569
2021-02-12,54.0,70.0,68.0,53.0,38.0,78.0,35.0,50.63291139240506,68.0,48.0,68.69011559621686
2021-02-13,40.0,75.0,48.0,45.0,36.0,69.0,57.0,62.0253164556962,49.0,58.0,65.80793719478271
2021-02-14,41.0,32.0,41.0,53.0,52.0,42.0,52.0,32.91139240506329,58.0,73.0,58.22463992087532
2021-02-15,52.0,34.0,38.0,52.0,75.0,36.0,37.0,59.49367088607595,46.0,50.0,58.53990233046919
2021-02-16,75.0,73.0,79.0,57.0,58.0,58.0,42.0,65.82278481012658,59.0,49.0,75.18390307226309
2021-02-17,60.0,52.0,53.0,59.0,38.0,68.0,44.0,53.164556962025316,49.0,58.0,65.21450207084132
2021-02-18,42.0,52.0,53.0,62.0,28.0,68.0,50.0,67.0886075949367,70.0,58.0,67.15862026333686
2021-02-19,44.0,47.0,48.0,31.0,33.0,72.0,49.0,55.69620253164557,49.0,50.0,58.44254188044756
2021-02-20,53.0,69.0,57.0,78.0,63.0,85.0,66.0,56.962025316455694,71.0,100.0,85.33411633801076
2021-02-21,53.0,52.0,35.0,20.0,40.0,60.0,51.0,49.36708860759494,67.0,50.0,58.280274463744824
2021-02-22,35.0,40.0,38.0,51.0,35.0,52.0,43.0,45.56962025316456,49.0,36.0,51.83439451072511
2021-02-23,39.0,49.0,39.0,43.0,48.0,66.0,35.0,43.037974683544306,58.0,29.0,54.82166038202386
2021-02-24,18.0,46.0,36.0,58.0,29.0,42.0,22.0,44.30379746835443,51.0,26.0,45.453421524386485
2021-02-25,32.0,42.0,43.0,40.0,36.0,49.0,38.0,44.30379746835443,43.0,45.0,50.33689806515424
2021-02-26,52.0,36.0,56.0,55.0,57.0,84.0,49.0,55.69620253164557,55.0,38.0,65.64566977807999
2021-02-27,42.0,62.0,60.0,23.0,23.0,39.0,33.0,25.31645569620253,34.0,31.0,45.45496692835508
2021-02-28,45.0,32.0,49.0,53.0,47.0,79.0,43.0,65.82278481012658,49.0,50.0,62.608950979786115
2021-03-01,52.0,54.0,59.0,38.0,49.0,75.0,58.0,62.0253164556962,52.0,64.0,68.73802311924337
2021-03-02,41.0,57.0,41.0,48.0,53.0,62.0,39.0,45.56962025316456,55.0,46.0,59.52587006243432
2021-03-03,51.0,53.0,40.0,37.0,33.0,65.0,50.0,44.30379746835443,68.0,72.0,62.66767633059283
2021-03-04,54.0,43.0,37.0,62.0,40.0,61.0,48.0,73.41772151898734,44.0,59.0,63.65828027446375
2021-03-05,45.0,34.0,42.0,32.0,25.0,28.0,37.0,45.56962025316456,49.0,39.0,45.97422266180379
2021-03-06,48.0,67.0,65.0,67.0,43.0,78.0,49.0,40.50632911392405,73.0,49.0,70.75013908635718
