date,/g/121j1nlf_0,/g/121j1nlf_1,/g/121j1nlf_2,/g/121j1nlf_3,/g/121j1nlf_4,/g/121j1nlf_5,/g/121j1nlf_6,/g/121j1nlf_7,/g/121j1nlf_8,/g/121j1nlf_9,/g/121j1nlf
2020-03-28,24.0,74.0,31.0,27.0,51.0,15.0,23.0,26.0,62.0,66.0,54.21195652173913
2020-03-29,46.0,58.0,82.0,66.0,61.0,29.0,45.0,75.0,91.0,26.0,78.66847826086958
2020-03-30,30.0,38.0,44.0,23.0,76.0,74.0,39.0,43.0,66.0,34.0,63.45108695652174
2020-03-31,20.0,38.0,17.0,33.0,11.0,12.0,29.0,11.0,38.0,34.0,33.016304347826086
2020-04-01,71.0,62.0,26.0,100.0,53.0,49.0,58.0,65.0,77.0,22.0,79.21195652173914
2020-04-02,51.0,52.0,45.0,35.0,44.0,64.0,40.0,55.0,41.0,93.0,70.65217391304348
2020-04-03,22.0,27.0,28.0,61.0,46.0,40.0,62.0,34.0,28.0,48.0,53.80434782608696
2020-04-04,49.0,31.0,21.0,41.0,13.0,30.0,24.0,13.0,47.0,55.0,44.02173913043479
2020-04-05,37.0,78.0,22.0,70.0,53.0,61.0,24.0,79.0,48.0,57.0,71.875
2020-04-06,42.0,76.0,18.0,12.0,33.0,64.0,80.0,22.0,27.0,23.0,53.94021739130436
2020-04-07,42.0,39.0,28.0,47.0,22.0,53.0,41.0,23.0,14.0,35.0,46.73913043478261
2020-04-08,11.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,2.8532608695652177
2020-04-09,33.0,27.0,19.0,12.0,80.0,40.0,21.0,35.0,28.0,49.0,46.73913043478261
2020-04-10,11.0,14.0,30.0,12.0,24.0,14.0,11.0,0.0,0.0,0.0,15.760869565217392
2020-04-11,47.0,43.0,41.0,39.0,25.0,59.0,46.0,50.0,30.0,40.0,57.06521739130435
2020-04-12,0.0,0.0,10.0,27.0,13.0,15.0,24.0,13.0,31.0,0.0,18.070652173913047
2020-04-13,11.0,0.0,28.0,12.0,12.0,27.0,21.0,23.0,28.0,0.0,22.010869565217394
2020-04-14,32.0,0.0,19.0,24.0,23.0,39.0,31.0,46.0,14.0,24.0,34.23913043478261
2020-04-15,31.0,77.0,54.0,47.0,55.0,38.0,61.0,100.0,54.0,70.0,79.7554347826087
2020-04-16,31.0,26.0,18.0,35.0,45.0,78.0,40.0,22.0,14.0,59.0,50.0
