date,/m/0g9pc_0,/m/0g9pc_1,/m/0g9pc_2,/m/0g9pc_3,/m/0g9pc_4,/m/0g9pc_5,/m/0g9pc_6,/m/0g9pc_7,/m/0g9pc_8,/m/0g9pc_9,/m/0g9pc
2020-02-01,11.0,0.0,6.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.5171624713958813
2020-02-02,16.0,10.0,6.0,10.0,10.0,0.0,11.0,9.0,6.0,10.0,10.068649885583525
2020-02-03,0.0,0.0,15.0,9.0,14.0,4.0,10.0,4.0,6.0,9.0,8.123569794050344
2020-02-04,10.0,5.0,11.0,10.0,15.0,13.0,6.0,10.0,13.0,10.0,11.784897025171624
2020-02-05,16.0,0.0,11.0,10.0,20.0,5.0,29.0,14.0,20.0,5.0,14.874141876430205
2020-02-06,0.0,10.0,6.0,0.0,5.0,5.0,0.0,0.0,7.0,5.0,4.3478260869565215
2020-02-07,0.0,16.0,6.0,5.0,11.0,10.0,12.0,5.0,7.0,6.0,8.924485125858123
2020-02-08,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,1.2585812356979407
2020-02-09,11.0,15.0,6.0,10.0,5.0,14.0,17.0,20.0,13.0,22.0,15.217391304347824
2020-02-10,5.0,5.0,16.0,14.0,0.0,4.0,22.0,9.0,6.0,15.0,10.983981693363845
2020-02-11,16.0,20.0,17.0,5.0,10.0,0.0,16.0,14.0,12.0,10.0,13.729977116704804
2020-02-12,10.0,5.0,6.0,5.0,10.0,4.0,5.0,0.0,13.0,5.0,7.2082379862700225
2020-02-13,11.0,24.0,17.0,14.0,5.0,9.0,11.0,9.0,0.0,5.0,12.013729977116704
2020-02-14,5.0,10.0,6.0,5.0,5.0,5.0,6.0,10.0,0.0,0.0,5.949656750572082
2020-02-15,6.0,5.0,13.0,10.0,16.0,5.0,0.0,0.0,15.0,6.0,8.695652173913043
2020-02-16,0.0,0.0,6.0,5.0,0.0,9.0,0.0,5.0,0.0,0.0,2.860411899313501
2020-02-17,0.0,5.0,5.0,9.0,5.0,4.0,5.0,0.0,6.0,0.0,4.462242562929061
2020-02-18,10.0,14.0,5.0,5.0,14.0,8.0,0.0,14.0,18.0,5.0,10.640732265446225
2020-02-19,0.0,0.0,6.0,0.0,0.0,0.0,5.0,4.0,0.0,5.0,2.2883295194508007
2020-02-20,0.0,5.0,0.0,0.0,0.0,5.0,6.0,5.0,13.0,11.0,5.148741418764302
2020-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-22,6.0,12.0,13.0,6.0,11.0,5.0,14.0,5.0,22.0,12.0,12.128146453089244
2020-02-23,24.0,6.0,32.0,11.0,11.0,20.0,6.0,21.0,14.0,17.0,18.535469107551485
2020-02-24,5.0,15.0,6.0,0.0,0.0,13.0,11.0,10.0,7.0,5.0,8.237986270022883
2020-02-25,10.0,9.0,22.0,18.0,28.0,13.0,21.0,17.0,24.0,15.0,20.251716247139587
2020-02-26,16.0,5.0,11.0,9.0,15.0,9.0,11.0,9.0,6.0,10.0,11.556064073226544
2020-02-27,36.0,5.0,11.0,14.0,24.0,4.0,27.0,13.0,43.0,20.0,22.54004576659039
