date,/m/05w_j_0,/m/05w_j_1,/m/05w_j_2,/m/05w_j_3,/m/05w_j_4,/m/05w_j_5,/m/05w_j_6,/m/05w_j_7,/m/05w_j_8,/m/05w_j_9,/m/05w_j
2021-04-18,0.0,14.0,16.0,15.0,14.0,12.0,11.0,0.0,10.0,11.0,12.466310640846478
2021-04-19,13.0,41.0,75.0,56.0,52.0,58.0,75.0,100.0,48.0,21.0,65.23632461569176
2021-04-20,61.0,40.0,59.0,41.0,77.0,34.0,63.0,69.0721649484536,28.0,31.0,60.88790177680176
2021-04-21,38.0,27.0,15.0,14.0,40.0,35.0,21.0,56.70103092783505,29.0,21.0,35.91036134957078
2021-04-22,51.0,56.0,75.0,28.0,0.0,24.0,11.0,72.16494845360825,20.0,43.0,46.01217807945699
2021-04-23,79.0,57.0,46.0,0.0,42.0,62.0,11.0,59.79381443298969,61.0,22.0,53.22918746256739
2021-04-24,14.0,0.0,33.0,0.0,0.0,0.0,0.0,16.49484536082474,0.0,12.0,9.13730285486125
2021-04-25,13.0,15.0,47.0,30.0,28.0,37.0,23.0,29.896907216494846,31.0,23.0,33.5134258334997
2021-04-26,70.0,64.0,0.0,13.0,61.0,33.0,20.0,65.97938144329896,45.0,39.0,49.741714913156315
2021-04-27,24.0,39.0,29.0,13.0,13.0,46.0,20.0,69.0721649484536,47.0,41.0,41.280694749450994
2021-04-28,69.0,50.0,40.0,51.0,24.0,21.0,20.0,50.51546391752577,35.0,49.0,49.56453383908965
2021-04-29,36.0,13.0,42.0,39.0,25.0,44.0,51.0,79.38144329896907,27.0,40.0,47.97489518866042
2021-04-30,69.0,25.0,54.0,25.0,73.0,32.0,19.0,38.144329896907216,35.0,19.0,47.0989718506688
2021-05-01,24.0,0.0,28.0,40.0,0.0,33.0,20.0,53.608247422680414,37.0,40.0,33.357456578159315
2021-05-02,50.0,53.0,29.0,42.0,39.0,23.0,53.0,70.10309278350516,66.0,21.0,53.99281293671393
2021-05-03,51.0,54.0,75.0,55.0,65.0,58.0,85.0,97.9381443298969,47.0,65.0,79.02650229586745
2021-05-04,70.0,37.0,96.0,25.0,48.0,53.0,68.0,38.144329896907216,44.0,69.0,66.34308245158716
2021-05-05,49.0,81.0,72.0,82.0,64.0,23.0,41.0,41.23711340206186,37.0,31.0,63.08644440007986
2021-05-06,47.0,26.0,28.0,27.0,62.0,22.0,20.0,40.20618556701031,18.0,20.0,37.54491914553803
2021-05-07,40.0,57.0,47.0,43.0,55.0,37.0,22.0,45.36082474226804,40.0,33.0,50.75613894989021
2021-05-08,42.0,30.0,16.0,0.0,43.0,26.0,47.0,61.855670103092784,21.0,58.0,41.738620483130376
2021-05-09,80.0,43.0,79.0,73.0,41.0,25.0,34.0,15.463917525773196,30.0,56.0,57.66744859253345
2021-05-10,61.0,64.0,86.0,79.0,75.0,99.0,93.0,82.47422680412372,65.0,61.0,92.6469854262328
2021-05-11,93.0,37.0,83.0,26.0,49.0,54.0,30.0,39.175257731958766,35.0,39.0,58.721800758634465
2021-05-12,25.0,40.0,15.0,55.0,39.0,47.0,32.0,27.835051546391753,19.0,21.0,38.83135356358555
2021-05-13,26.0,0.0,47.0,43.0,14.0,12.0,22.0,58.76288659793814,20.0,11.0,30.71346576162907
2021-05-14,27.0,0.0,16.0,44.0,0.0,12.0,56.0,0.0,30.0,11.0,23.722299860251553
2021-05-15,40.0,14.0,46.0,44.0,68.0,36.0,34.0,29.896907216494846,31.0,67.0,49.6107007386704
2021-05-16,100.0,54.0,45.0,41.0,52.0,46.0,86.0,83.50515463917526,58.0,21.0,70.9859752445598
2021-05-17,97.0,91.0,42.0,80.0,88.0,100.0,20.0,81.44329896907216,46.0,41.0,83.08170293471753
2021-05-18,76.0,67.0,44.0,28.0,39.0,23.0,21.0,28.8659793814433,19.0,32.0,45.73392892792973
2021-05-19,25.0,54.0,74.0,54.0,65.0,34.0,63.0,14.43298969072165,29.0,63.0,57.542673188261126
2021-05-20,55.0,59.0,50.0,45.0,58.0,51.0,58.0,77.31958762886597,42.0,23.0,62.733330005989224
2021-05-21,68.0,72.0,48.0,15.0,100.0,87.0,80.0,76.28865979381443,41.0,46.0,76.64828309043722
2021-05-22,71.0,61.0,100.0,31.0,45.0,65.0,59.0,47.422680412371136,65.0,49.0,71.82321820722701
2021-05-23,28.0,61.0,33.0,46.0,44.0,90.0,60.0,47.422680412371136,43.0,83.0,64.80335396286685
2021-05-24,49.0,66.0,72.0,54.0,63.0,56.0,42.0,41.23711340206186,37.0,41.0,63.08644440007986
2021-05-25,40.0,56.0,30.0,57.0,27.0,36.0,78.0,44.329896907216494,20.0,44.0,52.32581353563587
2021-05-26,60.0,66.0,71.0,54.0,13.0,67.0,10.0,95.87628865979381,46.0,51.0,64.61619085645837
2021-05-27,79.0,85.0,46.0,86.0,55.0,37.0,55.0,87.62886597938144,50.0,44.0,75.60016969454982
2021-05-28,29.0,46.0,17.0,48.0,44.0,27.0,12.0,48.45360824742268,11.0,24.0,37.090736673986825
2021-05-29,31.0,33.0,53.0,100.0,63.0,41.0,26.0,51.54639175257732,23.0,26.0,54.16749850269516
2021-05-30,73.0,32.0,69.0,97.0,0.0,40.0,37.0,32.98969072164948,44.0,24.0,54.34218406867639
2021-05-31,90.0,100.0,62.0,99.0,41.0,60.0,100.0,74.22680412371135,100.0,100.0,100.0
