date,/m/0jnvp
2020-02-01,62.16
2020-02-02,68.4
2020-02-03,51.919999999999995
2020-02-04,54.669999999999995
2020-02-05,69.7
2020-02-06,53.55
2020-02-07,41.54
2020-02-08,65.45
2020-02-09,66.42999999999999
2020-02-10,61.599999999999994
2020-02-11,48.28
2020-02-12,48.64
2020-02-13,63.959999999999994
2020-02-14,54.78
2020-02-15,62.25
2020-02-16,64.74000000000001
2020-02-17,66.12
2020-02-18,61.41
2020-02-19,52.480000000000004
2020-02-20,59.64
2020-02-21,65.45
2020-02-22,77.28
2020-02-23,83.0
2020-02-24,56.21
2020-02-25,53.6
2020-02-26,79.8
2020-02-27,49.77
2020-02-28,84.48
2020-02-29,55.88999999999999
2020-03-01,53.25
2020-03-02,63.64
2020-03-03,59.28
2020-03-04,54.019999999999996
2020-03-05,51.12
2020-03-06,53.199999999999996
2020-03-07,49.6
2020-03-08,82.0
2020-03-09,64.38
2020-03-10,46.86
2020-03-11,53.29
2020-03-12,36.300000000000004
2020-03-13,31.360000000000003
2020-03-14,44.64
2020-03-15,57.75
2020-03-16,32.45
2020-03-17,36.58
2020-03-18,42.9
2020-03-19,44.16
2020-03-20,55.48
2020-03-21,45.26
2020-03-22,61.769999999999996
2020-03-23,53.46
2020-03-24,45.0
2020-03-25,38.35
2020-03-26,47.12
2020-03-27,42.84
2020-03-28,50.92
2020-03-29,75.44
2020-03-30,73.8
2020-03-31,54.76
2020-04-01,53.28
2020-04-02,53.2
2020-04-03,44.160000000000004
2020-04-04,73.71000000000001
2020-04-05,91.0
2020-04-06,51.839999999999996
2020-04-07,68.53
2020-04-08,69.52
2020-04-09,70.47
2020-04-10,60.68
2020-04-11,82.8
2020-04-12,87.36
2020-04-13,68.06
2020-04-14,52.93
2020-04-15,53.199999999999996
2020-04-16,57.0
2020-04-17,63.959999999999994
2020-04-18,72.98
2020-04-19,77.75999999999999
2020-04-20,55.44
2020-04-21,72.54
2020-04-22,61.49999999999999
2020-04-23,58.5
2020-04-24,52.5
2020-04-25,45.54
2020-04-26,69.7
2020-04-27,56.7
2020-04-28,57.51
2020-04-29,70.55
2020-04-30,37.2
2020-05-01,84.55
2020-05-02,90.0
2020-05-03,94.0
2020-05-04,54.72
2020-05-05,53.25
2020-05-06,66.0
2020-05-07,73.92
2020-05-08,72.09
2020-05-09,81.9
2020-05-10,78.3
2020-05-11,49.580000000000005
2020-05-12,56.24
2020-05-13,64.5
2020-05-14,54.51
2020-05-15,77.28
2020-05-16,64.74000000000001
2020-05-17,71.33999999999999
2020-05-18,63.84
2020-05-19,54.27
2020-05-20,76.25999999999999
2020-05-21,73.71000000000001
2020-05-22,62.32
2020-05-23,83.66
2020-05-24,77.4
2020-05-25,44.85
2020-05-26,61.32
2020-05-27,72.97999999999999
2020-05-28,44.220000000000006
2020-05-29,46.900000000000006
2020-05-30,63.18000000000001
2020-05-31,74.8
