date,/m/01ppsd
2020-02-01,13.44
2020-02-02,37.599999999999994
2020-02-03,33.55
2020-02-04,16.529999999999998
2020-02-05,38.76
2020-02-06,24.99
2020-02-07,31.62
2020-02-08,30.53
2020-02-09,45.36
2020-02-10,15.749999999999998
2020-02-11,22.0
2020-02-12,26.64
2020-02-13,49.6
2020-02-14,9.99
2020-02-15,32.16
2020-02-16,49.0
2020-02-17,18.56
2020-02-18,54.019999999999996
2020-02-19,39.33
2020-02-20,43.35
2020-02-21,19.32
2020-02-22,64.5
2020-02-23,18.72
2020-02-24,28.560000000000002
2020-02-25,44.0
2020-02-26,38.190000000000005
2020-02-27,15.0
2020-02-28,36.85
2020-02-29,47.32
2020-03-01,20.5
2020-03-02,56.12
2020-03-03,50.32
2020-03-04,49.410000000000004
2020-03-05,60.52
2020-03-06,34.56
2020-03-07,32.48
2020-03-08,35.38
2020-03-09,66.96000000000001
2020-03-10,53.959999999999994
2020-03-11,60.75000000000001
2020-03-12,74.7
2020-03-13,81.0
2020-03-14,95.0
2020-03-15,70.56
2020-03-16,89.28
2020-03-17,49.84
2020-03-18,47.57
2020-03-19,35.4
2020-03-20,53.95
2020-03-21,49.58
2020-03-22,72.0
2020-03-23,28.62
2020-03-24,53.32
2020-03-25,39.06
2020-03-26,57.6
2020-03-27,39.05
2020-03-28,37.169999999999995
2020-03-29,18.36
2020-03-30,40.47
2020-03-31,42.120000000000005
2020-04-01,40.32
2020-04-02,64.0
2020-04-03,31.11
2020-04-04,28.5
2020-04-05,66.36
2020-04-06,17.64
2020-04-07,29.160000000000004
2020-04-08,27.3
2020-04-09,32.85
2020-04-10,19.43
2020-04-11,51.62
2020-04-12,67.0
2020-04-13,22.2
2020-04-14,23.52
2020-04-15,39.9
2020-04-16,21.84
2020-04-17,27.72
2020-04-18,53.81999999999999
2020-04-19,37.230000000000004
2020-04-20,31.5
2020-04-21,77.42999999999999
2020-04-22,22.04
2020-04-23,33.6
2020-04-24,30.360000000000003
2020-04-25,41.580000000000005
2020-04-26,50.76
2020-04-27,36.04
2020-04-28,30.74
2020-04-29,26.320000000000004
2020-04-30,28.05
2020-05-01,14.399999999999999
2020-05-02,36.96
2020-05-03,82.0
2020-05-04,32.13
2020-05-05,22.32
2020-05-06,21.07
2020-05-07,21.119999999999997
2020-05-08,24.75
2020-05-09,38.22
2020-05-10,34.4
2020-05-11,15.049999999999999
2020-05-12,16.8
2020-05-13,59.25
2020-05-14,32.19
2020-05-15,9.1
2020-05-16,34.769999999999996
2020-05-17,11.22
2020-05-18,15.579999999999998
2020-05-19,28.32
2020-05-20,43.52
2020-05-21,28.5
2020-05-22,29.24
2020-05-23,25.52
2020-05-24,20.28
2020-05-25,33.6
2020-05-26,11.88
2020-05-27,53.82
2020-05-28,52.44
2020-05-29,9.24
2020-05-30,26.79
2020-05-31,46.86
