date,/m/0dq9p
2020-02-01,46.0
2020-02-02,11.47
2020-02-03,10.12
2020-02-04,28.86
2020-02-05,12.16
2020-02-06,17.16
2020-02-07,18.36
2020-02-08,16.8
2020-02-09,5.3999999999999995
2020-02-10,13.5
2020-02-11,11.47
2020-02-12,16.740000000000002
2020-02-13,5.76
2020-02-14,38.61
2020-02-15,0.0
2020-02-16,8.370000000000001
2020-02-17,11.16
2020-02-18,32.76
2020-02-19,25.3
2020-02-20,8.96
2020-02-21,6.6000000000000005
2020-02-22,13.600000000000001
2020-02-23,12.16
2020-02-24,14.399999999999999
2020-02-25,30.0
2020-02-26,14.96
2020-02-27,8.41
2020-02-28,11.760000000000002
2020-02-29,8.32
2020-03-01,62.05
2020-03-02,10.66
2020-03-03,36.0
2020-03-04,6.4799999999999995
2020-03-05,20.35
2020-03-06,30.800000000000004
2020-03-07,12.0
2020-03-08,29.44
2020-03-09,37.82
2020-03-10,36.57
2020-03-11,18.2
2020-03-12,30.6
2020-03-13,41.44
2020-03-14,48.0
2020-03-15,94.0
2020-03-16,26.95
2020-03-17,43.35
2020-03-18,26.68
2020-03-19,28.560000000000002
2020-03-20,44.160000000000004
2020-03-21,11.34
2020-03-22,48.8
2020-03-23,24.4
2020-03-24,20.09
2020-03-25,7.48
2020-03-26,40.260000000000005
2020-03-27,25.009999999999998
2020-03-28,19.08
2020-03-29,4.25
2020-03-30,16.74
2020-03-31,6.2
2020-04-01,35.89
2020-04-02,10.92
2020-04-03,54.0
2020-04-04,30.800000000000004
2020-04-05,6.84
2020-04-06,9.44
2020-04-07,7.5
2020-04-08,7.75
2020-04-09,31.0
2020-04-10,21.080000000000002
2020-04-11,6.12
2020-04-12,12.24
2020-04-13,4.8
2020-04-14,9.120000000000001
2020-04-15,6.24
2020-04-16,0.0
2020-04-17,0.0
2020-04-18,4.96
2020-04-19,5.2700000000000005
2020-04-20,12.48
2020-04-21,4.64
2020-04-22,5.1000000000000005
2020-04-23,4.8
2020-04-24,0.0
2020-04-25,0.0
2020-04-26,0.0
2020-04-27,0.0
2020-04-28,0.0
2020-04-29,0.0
2020-04-30,9.6
2020-05-01,21.0
2020-05-02,12.48
2020-05-03,0.0
2020-05-04,3.3600000000000003
2020-05-05,4.9
2020-05-06,8.0
2020-05-07,8.91
2020-05-08,6.75
2020-05-09,5.22
2020-05-10,6.970000000000001
2020-05-11,12.24
2020-05-12,0.0
2020-05-13,5.44
2020-05-14,4.16
2020-05-15,4.590000000000001
2020-05-16,0.0
2020-05-17,0.0
2020-05-18,0.0
2020-05-19,0.0
2020-05-20,4.590000000000001
2020-05-21,0.0
2020-05-22,4.0
2020-05-23,0.0
2020-05-24,0.0
2020-05-25,0.0
2020-05-26,4.32
2020-05-27,0.0
2020-05-28,8.32
2020-05-29,6.75
2020-05-30,5.7
2020-05-31,5.7
