date,/m/0j5fv
2020-02-01,16.5
2020-02-02,19.5
2020-02-03,12.709999999999999
2020-02-04,19.55
2020-02-05,14.399999999999999
2020-02-06,11.1
2020-02-07,17.48
2020-02-08,29.12
2020-02-09,17.6
2020-02-10,9.180000000000001
2020-02-11,38.64
2020-02-12,6.44
2020-02-13,37.4
2020-02-14,19.75
2020-02-15,41.76
2020-02-16,28.6
2020-02-17,33.58
2020-02-18,46.0
2020-02-19,24.599999999999998
2020-02-20,34.980000000000004
2020-02-21,20.0
2020-02-22,36.21
2020-02-23,41.28
2020-02-24,35.28
2020-02-25,12.15
2020-02-26,29.64
2020-02-27,30.02
2020-02-28,11.28
2020-02-29,20.790000000000003
2020-03-01,14.620000000000001
2020-03-02,23.03
2020-03-03,12.58
2020-03-04,5.44
2020-03-05,29.4
2020-03-06,4.64
2020-03-07,13.32
2020-03-08,11.2
2020-03-09,28.5
2020-03-10,15.19
2020-03-11,40.47
2020-03-12,30.09
2020-03-13,24.849999999999998
2020-03-14,18.799999999999997
2020-03-15,15.51
2020-03-16,30.38
2020-03-17,80.0
2020-03-18,33.6
2020-03-19,28.799999999999997
2020-03-20,25.8
2020-03-21,33.18
2020-03-22,60.75
2020-03-23,23.52
2020-03-24,8.64
2020-03-25,18.55
2020-03-26,26.24
2020-03-27,45.5
2020-03-28,26.0
2020-03-29,61.0
2020-03-30,15.58
2020-03-31,15.99
2020-04-01,28.0
2020-04-02,24.57
2020-04-03,46.55
2020-04-04,43.68
2020-04-05,58.96
2020-04-06,20.72
2020-04-07,46.0
2020-04-08,21.119999999999997
2020-04-09,10.54
2020-04-10,20.64
2020-04-11,32.9
2020-04-12,25.76
2020-04-13,11.1
2020-04-14,15.600000000000001
2020-04-15,22.540000000000003
2020-04-16,41.800000000000004
2020-04-17,30.08
2020-04-18,30.82
2020-04-19,21.08
2020-04-20,13.600000000000001
2020-04-21,40.5
2020-04-22,42.0
2020-04-23,19.98
2020-04-24,32.85
2020-04-25,41.0
2020-04-26,23.099999999999998
2020-04-27,17.5
2020-04-28,28.98
2020-04-29,26.66
2020-04-30,18.150000000000002
2020-05-01,20.060000000000002
2020-05-02,13.600000000000001
2020-05-03,41.18
2020-05-04,15.81
2020-05-05,13.23
2020-05-06,22.95
2020-05-07,37.0
2020-05-08,30.08
2020-05-09,12.42
2020-05-10,31.86
2020-05-11,11.479999999999999
2020-05-12,45.5
2020-05-13,14.52
2020-05-14,15.25
2020-05-15,26.459999999999997
2020-05-16,30.099999999999998
2020-05-17,29.4
2020-05-18,16.799999999999997
2020-05-19,24.990000000000002
2020-05-20,19.61
2020-05-21,16.45
2020-05-22,4.4
2020-05-23,12.959999999999999
2020-05-24,25.28
2020-05-25,11.700000000000001
2020-05-26,19.32
2020-05-27,16.799999999999997
2020-05-28,21.73
2020-05-29,10.32
2020-05-30,24.849999999999998
2020-05-31,20.88
