date,/m/0ytgt
2020-02-01,65.60000000000001
2020-02-02,100.0
2020-02-03,69.72
2020-02-04,53.949999999999996
2020-02-05,42.88
2020-02-06,64.80000000000001
2020-02-07,62.370000000000005
2020-02-08,47.25
2020-02-09,78.4
2020-02-10,43.52
2020-02-11,53.81999999999999
2020-02-12,63.18000000000001
2020-02-13,42.0
2020-02-14,47.45
2020-02-15,55.379999999999995
2020-02-16,69.3
2020-02-17,63.959999999999994
2020-02-18,75.53
2020-02-19,64.0
2020-02-20,69.7
2020-02-21,46.36
2020-02-22,71.89
2020-02-23,72.21
2020-02-24,73.47
2020-02-25,61.6
2020-02-26,48.91
2020-02-27,38.080000000000005
2020-02-28,48.28
2020-02-29,65.57
2020-03-01,64.0
2020-03-02,48.19
2020-03-03,57.2
2020-03-04,56.25
2020-03-05,70.55
2020-03-06,45.99
2020-03-07,69.42
2020-03-08,89.18
2020-03-09,56.09
2020-03-10,51.06
2020-03-11,61.6
2020-03-12,43.66
2020-03-13,47.36
2020-03-14,55.379999999999995
2020-03-15,77.43
2020-03-16,67.08
2020-03-17,63.75
2020-03-18,56.21
2020-03-19,83.66
2020-03-20,64.80000000000001
2020-03-21,69.16
2020-03-22,66.12
2020-03-23,46.24
2020-03-24,68.4
2020-03-25,75.53
2020-03-26,81.9
2020-03-27,60.68
2020-03-28,64.97
2020-03-29,92.0
2020-03-30,82.56
2020-03-31,80.91
2020-04-01,57.67
2020-04-02,73.95
2020-04-03,61.620000000000005
2020-04-04,73.8
2020-04-05,70.4
2020-04-06,56.58
2020-04-07,66.3
2020-04-08,68.89
2020-04-09,64.80000000000001
2020-04-10,51.0
2020-04-11,68.85
2020-04-12,68.85
2020-04-13,87.36
2020-04-14,64.80000000000001
2020-04-15,49.14
2020-04-16,67.14999999999999
2020-04-17,65.6
2020-04-18,76.5
2020-04-19,71.39999999999999
2020-04-20,63.75
2020-04-21,57.6
2020-04-22,59.2
2020-04-23,68.88
2020-04-24,52.93
2020-04-25,96.0
2020-04-26,82.81
2020-04-27,64.80000000000001
2020-04-28,79.17
2020-04-29,88.32
2020-04-30,59.28
2020-05-01,60.0
2020-05-02,83.0
2020-05-03,76.44
2020-05-04,52.800000000000004
2020-05-05,48.91
2020-05-06,57.269999999999996
2020-05-07,55.44
2020-05-08,54.75
2020-05-09,74.52000000000001
2020-05-10,64.5
2020-05-11,61.5
2020-05-12,54.019999999999996
2020-05-13,54.67
2020-05-14,44.53
2020-05-15,58.48
2020-05-16,59.04
2020-05-17,76.56
2020-05-18,63.64
2020-05-19,66.3
2020-05-20,43.4
2020-05-21,53.9
2020-05-22,57.67
2020-05-23,53.2
2020-05-24,65.86
2020-05-25,44.73
2020-05-26,63.51
2020-05-27,49.4
2020-05-28,48.28
2020-05-29,57.75
2020-05-30,59.2
2020-05-31,54.76
