date,/m/018l35
2020-02-01,39.48
2020-02-02,18.0
2020-02-03,46.08
2020-02-04,50.32
2020-02-05,27.0
2020-02-06,23.12
2020-02-07,35.75
2020-02-08,25.37
2020-02-09,20.72
2020-02-10,47.79
2020-02-11,49.8
2020-02-12,15.21
2020-02-13,15.0
2020-02-14,40.050000000000004
2020-02-15,11.879999999999999
2020-02-16,20.58
2020-02-17,30.87
2020-02-18,22.62
2020-02-19,34.0
2020-02-20,21.45
2020-02-21,39.96
2020-02-22,7.04
2020-02-23,20.130000000000003
2020-02-24,21.599999999999998
2020-02-25,44.550000000000004
2020-02-26,20.35
2020-02-27,26.4
2020-02-28,55.00000000000001
2020-02-29,10.12
2020-03-01,34.769999999999996
2020-03-02,22.44
2020-03-03,46.230000000000004
2020-03-04,31.27
2020-03-05,24.94
2020-03-06,15.040000000000001
2020-03-07,17.86
2020-03-08,19.25
2020-03-09,28.6
2020-03-10,18.919999999999998
2020-03-11,35.2
2020-03-12,12.959999999999999
2020-03-13,19.8
2020-03-14,87.0
2020-03-15,40.04
2020-03-16,51.1
2020-03-17,37.63
2020-03-18,46.230000000000004
2020-03-19,43.66
2020-03-20,52.08
2020-03-21,30.87
2020-03-22,89.0
2020-03-23,88.32000000000001
2020-03-24,60.8
2020-03-25,40.7
2020-03-26,24.189999999999998
2020-03-27,22.56
2020-03-28,23.94
2020-03-29,8.82
2020-03-30,29.120000000000005
2020-03-31,11.549999999999999
2020-04-01,37.72
2020-04-02,18.150000000000002
2020-04-03,19.11
2020-04-04,32.68
2020-04-05,15.579999999999998
2020-04-06,40.56
2020-04-07,39.27
2020-04-08,20.58
2020-04-09,38.7
2020-04-10,55.00000000000001
2020-04-11,16.32
2020-04-12,23.46
2020-04-13,36.4
2020-04-14,26.4
2020-04-15,42.21
2020-04-16,26.91
2020-04-17,52.480000000000004
2020-04-18,13.95
2020-04-19,11.78
2020-04-20,31.08
2020-04-21,19.53
2020-04-22,50.7
2020-04-23,35.510000000000005
2020-04-24,9.8
2020-04-25,14.26
2020-04-26,10.799999999999999
2020-04-27,26.23
2020-04-28,39.06
2020-04-29,35.28
2020-04-30,12.920000000000002
2020-05-01,7.92
2020-05-02,15.96
2020-05-03,26.07
2020-05-04,32.64
2020-05-05,20.740000000000002
2020-05-06,51.35
2020-05-07,25.28
2020-05-08,20.65
2020-05-09,22.32
2020-05-10,34.79
2020-05-11,28.35
2020-05-12,36.4
2020-05-13,21.87
2020-05-14,30.800000000000004
2020-05-15,20.299999999999997
2020-05-16,29.68
2020-05-17,29.200000000000003
2020-05-18,38.0
2020-05-19,27.740000000000002
2020-05-20,12.73
2020-05-21,10.26
2020-05-22,16.400000000000002
2020-05-23,24.069999999999997
2020-05-24,20.59
2020-05-25,25.41
2020-05-26,42.0
2020-05-27,17.22
2020-05-28,29.48
2020-05-29,32.660000000000004
2020-05-30,36.0
2020-05-31,19.139999999999997
