date,/m/062t2
2020-02-01,58.24
2020-02-02,47.790000000000006
2020-02-03,89.18
2020-02-04,41.58
2020-02-05,66.75
2020-02-06,66.42999999999999
2020-02-07,36.72
2020-02-08,49.64
2020-02-09,37.949999999999996
2020-02-10,63.36
2020-02-11,47.17
2020-02-12,42.25
2020-02-13,62.370000000000005
2020-02-14,39.6
2020-02-15,66.3
2020-02-16,67.5
2020-02-17,76.23
2020-02-18,94.09
2020-02-19,31.319999999999997
2020-02-20,64.0
2020-02-21,37.24
2020-02-22,44.64
2020-02-23,71.39999999999999
2020-02-24,76.54
2020-02-25,89.0
2020-02-26,39.65
2020-02-27,32.43
2020-02-28,44.1
2020-02-29,57.76
2020-03-01,78.3
2020-03-02,52.36
2020-03-03,58.46
2020-03-04,76.53999999999999
2020-03-05,76.44
2020-03-06,52.36
2020-03-07,56.28
2020-03-08,68.64
2020-03-09,65.66
2020-03-10,83.66
2020-03-11,84.0
2020-03-12,38.19
2020-03-13,30.21
2020-03-14,56.8
2020-03-15,77.08
2020-03-16,29.150000000000002
2020-03-17,29.639999999999997
2020-03-18,53.199999999999996
2020-03-19,46.9
2020-03-20,42.33
2020-03-21,65.57000000000001
2020-03-22,42.88
2020-03-23,51.0
2020-03-24,38.43
2020-03-25,46.92
2020-03-26,43.8
2020-03-27,69.3
2020-03-28,48.36
2020-03-29,61.32
2020-03-30,50.82
2020-03-31,49.64
2020-04-01,58.96
2020-04-02,35.510000000000005
2020-04-03,50.629999999999995
2020-04-04,56.24
2020-04-05,62.099999999999994
2020-04-06,38.64
2020-04-07,60.68
2020-04-08,48.98
2020-04-09,56.760000000000005
2020-04-10,54.18
2020-04-11,59.25
2020-04-12,62.32
2020-04-13,48.96
2020-04-14,42.089999999999996
2020-04-15,56.0
2020-04-16,42.919999999999995
2020-04-17,69.75
2020-04-18,64.5
2020-04-19,60.300000000000004
2020-04-20,54.75
2020-04-21,73.0
2020-04-22,45.44
2020-04-23,54.019999999999996
2020-04-24,59.84
2020-04-25,64.08
2020-04-26,80.04
2020-04-27,46.61
2020-04-28,43.120000000000005
2020-04-29,45.6
2020-04-30,40.150000000000006
2020-05-01,77.0
2020-05-02,73.95
2020-05-03,86.0
2020-05-04,72.9
2020-05-05,58.400000000000006
2020-05-06,58.099999999999994
2020-05-07,44.08
2020-05-08,72.38
2020-05-09,79.17
2020-05-10,60.300000000000004
2020-05-11,63.96
2020-05-12,64.02
2020-05-13,59.64
2020-05-14,52.650000000000006
2020-05-15,60.349999999999994
2020-05-16,37.230000000000004
2020-05-17,43.4
2020-05-18,29.5
2020-05-19,51.06
2020-05-20,55.5
2020-05-21,74.26
2020-05-22,48.989999999999995
2020-05-23,49.699999999999996
2020-05-24,76.14
2020-05-25,48.51
2020-05-26,52.56
2020-05-27,50.15
2020-05-28,63.0
2020-05-29,49.6
2020-05-30,31.49
2020-05-31,60.48
