date,/m/026yf
2020-02-01,28.35
2020-02-02,54.669999999999995
2020-02-03,38.160000000000004
2020-02-04,72.68
2020-02-05,52.92
2020-02-06,70.84
2020-02-07,43.5
2020-02-08,44.02
2020-02-09,49.5
2020-02-10,53.120000000000005
2020-02-11,59.04
2020-02-12,55.080000000000005
2020-02-13,74.0
2020-02-14,42.88
2020-02-15,29.25
2020-02-16,42.339999999999996
2020-02-17,54.599999999999994
2020-02-18,55.44
2020-02-19,70.68
2020-02-20,61.2
2020-02-21,47.12
2020-02-22,31.900000000000002
2020-02-23,29.0
2020-02-24,37.44
2020-02-25,36.72
2020-02-26,49.580000000000005
2020-02-27,46.97
2020-02-28,38.76
2020-02-29,40.8
2020-03-01,44.89
2020-03-02,45.43
2020-03-03,39.04
2020-03-04,40.019999999999996
2020-03-05,52.5
2020-03-06,36.300000000000004
2020-03-07,31.35
2020-03-08,53.9
2020-03-09,48.989999999999995
2020-03-10,45.54
2020-03-11,57.67
2020-03-12,71.28
2020-03-13,39.68
2020-03-14,35.339999999999996
2020-03-15,44.220000000000006
2020-03-16,41.580000000000005
2020-03-17,94.0
2020-03-18,51.83
2020-03-19,73.47
2020-03-20,57.510000000000005
2020-03-21,54.019999999999996
2020-03-22,59.2
2020-03-23,72.09
2020-03-24,84.39
2020-03-25,75.60000000000001
2020-03-26,79.12
2020-03-27,74.61999999999999
2020-03-28,48.989999999999995
2020-03-29,62.400000000000006
2020-03-30,82.17
2020-03-31,67.24
2020-04-01,77.89999999999999
2020-04-02,73.8
2020-04-03,64.0
2020-04-04,62.25
2020-04-05,44.220000000000006
2020-04-06,66.22
2020-04-07,52.5
2020-04-08,56.940000000000005
2020-04-09,66.3
2020-04-10,58.4
2020-04-11,47.57
2020-04-12,47.57
2020-04-13,56.25
2020-04-14,51.83
2020-04-15,51.12
2020-04-16,51.839999999999996
2020-04-17,51.12
2020-04-18,56.21
2020-04-19,60.75
2020-04-20,78.4
2020-04-21,85.0
2020-04-22,73.95
2020-04-23,68.39999999999999
2020-04-24,69.12
2020-04-25,57.959999999999994
2020-04-26,48.989999999999995
2020-04-27,61.6
2020-04-28,64.78
2020-04-29,96.0
2020-04-30,79.21000000000001
2020-05-01,79.12
2020-05-02,55.3
2020-05-03,61.32
2020-05-04,68.0
2020-05-05,76.95
2020-05-06,56.8
2020-05-07,81.0
2020-05-08,61.56
2020-05-09,43.8
2020-05-10,38.19
2020-05-11,58.52
2020-05-12,80.96
2020-05-13,80.36
2020-05-14,72.0
2020-05-15,49.68
2020-05-16,47.61
2020-05-17,58.22
2020-05-18,56.879999999999995
2020-05-19,70.84
2020-05-20,58.099999999999994
2020-05-21,44.85
2020-05-22,51.06
2020-05-23,49.64
2020-05-24,51.8
2020-05-25,65.61
2020-05-26,86.49000000000001
2020-05-27,73.95
2020-05-28,65.25
2020-05-29,66.12
2020-05-30,48.75
2020-05-31,51.83
