date,/m/07gr_
2020-02-01,34.3
2020-02-02,22.57
2020-02-03,31.11
2020-02-04,21.0
2020-02-05,20.7
2020-02-06,28.29
2020-02-07,31.5
2020-02-08,22.62
2020-02-09,41.440000000000005
2020-02-10,25.76
2020-02-11,33.58
2020-02-12,25.96
2020-02-13,17.22
2020-02-14,26.279999999999998
2020-02-15,44.25
2020-02-16,47.0
2020-02-17,23.939999999999998
2020-02-18,24.96
2020-02-19,24.2
2020-02-20,29.52
2020-02-21,38.61
2020-02-22,48.98
2020-02-23,57.620000000000005
2020-02-24,22.2
2020-02-25,17.4
2020-02-26,33.120000000000005
2020-02-27,41.6
2020-02-28,25.619999999999997
2020-02-29,27.95
2020-03-01,16.45
2020-03-02,14.76
2020-03-03,18.24
2020-03-04,12.21
2020-03-05,36.92
2020-03-06,13.260000000000002
2020-03-07,24.48
2020-03-08,32.9
2020-03-09,20.520000000000003
2020-03-10,50.349999999999994
2020-03-11,42.84
2020-03-12,31.85
2020-03-13,93.0
2020-03-14,63.48
2020-03-15,78.0
2020-03-16,49.92
2020-03-17,32.4
2020-03-18,46.44
2020-03-19,59.52
2020-03-20,37.76
2020-03-21,35.19
2020-03-22,55.9
2020-03-23,25.44
2020-03-24,33.660000000000004
2020-03-25,44.2
2020-03-26,23.92
2020-03-27,17.28
2020-03-28,34.68
2020-03-29,47.449999999999996
2020-03-30,36.18
2020-03-31,33.629999999999995
2020-04-01,43.550000000000004
2020-04-02,53.36
2020-04-03,37.800000000000004
2020-04-04,49.559999999999995
2020-04-05,72.0
2020-04-06,36.66
2020-04-07,39.42
2020-04-08,42.239999999999995
2020-04-09,51.83
2020-04-10,42.68
2020-04-11,59.800000000000004
2020-04-12,67.64
2020-04-13,40.599999999999994
2020-04-14,14.7
2020-04-15,27.93
2020-04-16,50.019999999999996
2020-04-17,20.740000000000002
2020-04-18,50.22
2020-04-19,34.78
2020-04-20,31.02
2020-04-21,15.17
2020-04-22,15.84
2020-04-23,33.6
2020-04-24,11.84
2020-04-25,30.82
2020-04-26,33.6
2020-04-27,18.0
2020-04-28,15.399999999999999
2020-04-29,27.72
2020-04-30,17.02
2020-05-01,11.25
2020-05-02,28.32
2020-05-03,31.24
2020-05-04,18.56
2020-05-05,27.93
2020-05-06,15.510000000000002
2020-05-07,23.099999999999998
2020-05-08,25.38
2020-05-09,26.400000000000002
2020-05-10,16.43
2020-05-11,20.46
2020-05-12,19.8
2020-05-13,22.259999999999998
2020-05-14,10.799999999999999
2020-05-15,18.330000000000002
2020-05-16,47.879999999999995
2020-05-17,43.45
2020-05-18,13.600000000000001
2020-05-19,20.64
2020-05-20,29.25
2020-05-21,62.0
2020-05-22,13.260000000000002
2020-05-23,44.82
2020-05-24,18.549999999999997
2020-05-25,18.02
2020-05-26,15.64
2020-05-27,16.96
2020-05-28,30.36
2020-05-29,19.95
2020-05-30,31.849999999999998
2020-05-31,35.75
