date,/m/0cycc
2020-02-01,13.02
2020-02-02,12.22
2020-02-03,10.12
2020-02-04,10.5
2020-02-05,23.94
2020-02-06,7.68
2020-02-07,7.82
2020-02-08,13.919999999999998
2020-02-09,9.0
2020-02-10,13.2
2020-02-11,10.78
2020-02-12,6.38
2020-02-13,10.8
2020-02-14,3.12
2020-02-15,3.5999999999999996
2020-02-16,5.44
2020-02-17,10.25
2020-02-18,6.800000000000001
2020-02-19,4.32
2020-02-20,10.35
2020-02-21,5.51
2020-02-22,4.2
2020-02-23,15.66
2020-02-24,29.759999999999998
2020-02-25,37.129999999999995
2020-02-26,47.84
2020-02-27,41.36
2020-02-28,28.56
2020-02-29,48.0
2020-03-01,44.16
2020-03-02,45.099999999999994
2020-03-03,24.99
2020-03-04,19.61
2020-03-05,24.91
2020-03-06,24.96
2020-03-07,10.2
2020-03-08,17.2
2020-03-09,30.5
2020-03-10,34.65
2020-03-11,38.339999999999996
2020-03-12,55.080000000000005
2020-03-13,61.49999999999999
2020-03-14,55.18
2020-03-15,100.0
2020-03-16,63.19
2020-03-17,24.96
2020-03-18,16.4
2020-03-19,57.0
2020-03-20,50.220000000000006
2020-03-21,64.6
2020-03-22,50.160000000000004
2020-03-23,22.56
2020-03-24,13.86
2020-03-25,24.3
2020-03-26,19.35
2020-03-27,18.900000000000002
2020-03-28,22.5
2020-03-29,18.36
2020-03-30,15.3
2020-03-31,15.049999999999999
2020-04-01,25.740000000000002
2020-04-02,48.760000000000005
2020-04-03,29.11
2020-04-04,44.589999999999996
2020-04-05,19.200000000000003
2020-04-06,12.420000000000002
2020-04-07,11.02
2020-04-08,4.760000000000001
2020-04-09,14.26
2020-04-10,31.82
2020-04-11,30.599999999999998
2020-04-12,27.72
2020-04-13,56.00000000000001
2020-04-14,18.200000000000003
2020-04-15,6.0
2020-04-16,5.92
2020-04-17,3.84
2020-04-18,6.21
2020-04-19,10.14
2020-04-20,6.630000000000001
2020-04-21,8.75
2020-04-22,6.72
2020-04-23,4.32
2020-04-24,9.8
2020-04-25,13.110000000000001
2020-04-26,5.85
2020-04-27,4.37
2020-04-28,17.68
2020-04-29,6.12
2020-04-30,3.96
2020-05-01,22.11
2020-05-02,17.400000000000002
2020-05-03,6.4799999999999995
2020-05-04,4.68
2020-05-05,6.0200000000000005
2020-05-06,12.16
2020-05-07,5.5
2020-05-08,1.8900000000000001
2020-05-09,4.68
2020-05-10,28.000000000000004
2020-05-11,29.759999999999998
2020-05-12,11.760000000000002
2020-05-13,2.6999999999999997
2020-05-14,2.7300000000000004
2020-05-15,3.1
2020-05-16,6.4799999999999995
2020-05-17,6.580000000000001
2020-05-18,6.24
2020-05-19,5.2700000000000005
2020-05-20,2.97
2020-05-21,8.4
2020-05-22,1.8800000000000001
2020-05-23,1.28
2020-05-24,3.69
2020-05-25,1.7500000000000002
2020-05-26,1.8900000000000001
2020-05-27,3.5999999999999996
2020-05-28,1.36
2020-05-29,4.51
2020-05-30,0.8999999999999999
2020-05-31,3.0
