date,/m/04hgtk
2020-02-01,35.989999999999995
2020-02-02,56.00000000000001
2020-02-03,31.860000000000003
2020-02-04,10.120000000000001
2020-02-05,31.28
2020-02-06,29.759999999999998
2020-02-07,10.56
2020-02-08,47.58
2020-02-09,12.76
2020-02-10,15.68
2020-02-11,35.2
2020-02-12,37.8
2020-02-13,28.52
2020-02-14,14.0
2020-02-15,30.810000000000002
2020-02-16,15.399999999999999
2020-02-17,36.75
2020-02-18,41.6
2020-02-19,20.5
2020-02-20,41.54
2020-02-21,11.200000000000001
2020-02-22,21.0
2020-02-23,23.97
2020-02-24,21.12
2020-02-25,35.28
2020-02-26,17.63
2020-02-27,23.22
2020-02-28,29.12
2020-02-29,26.86
2020-03-01,34.199999999999996
2020-03-02,69.0
2020-03-03,33.550000000000004
2020-03-04,10.799999999999999
2020-03-05,13.799999999999999
2020-03-06,19.32
2020-03-07,30.38
2020-03-08,33.5
2020-03-09,8.4
2020-03-10,10.149999999999999
2020-03-11,33.97
2020-03-12,61.5
2020-03-13,26.68
2020-03-14,38.07
2020-03-15,39.68
2020-03-16,41.58
2020-03-17,70.0
2020-03-18,20.68
2020-03-19,28.060000000000002
2020-03-20,46.169999999999995
2020-03-21,36.300000000000004
2020-03-22,54.78
2020-03-23,45.43
2020-03-24,30.0
2020-03-25,37.260000000000005
2020-03-26,42.660000000000004
2020-03-27,46.15
2020-03-28,40.15
2020-03-29,63.91
2020-03-30,17.86
2020-03-31,29.900000000000002
2020-04-01,16.47
2020-04-02,24.380000000000003
2020-04-03,34.4
2020-04-04,51.0
2020-04-05,74.0
2020-04-06,33.040000000000006
2020-04-07,21.150000000000002
2020-04-08,27.06
2020-04-09,23.459999999999997
2020-04-10,35.96
2020-04-11,44.800000000000004
2020-04-12,44.0
2020-04-13,10.66
2020-04-14,34.8
2020-04-15,18.48
2020-04-16,12.58
2020-04-17,12.16
2020-04-18,18.91
2020-04-19,42.88
2020-04-20,18.36
2020-04-21,45.44
2020-04-22,37.96
2020-04-23,40.3
2020-04-24,24.380000000000003
2020-04-25,24.99
2020-04-26,16.900000000000002
2020-04-27,18.8
2020-04-28,46.2
2020-04-29,14.879999999999999
2020-04-30,46.199999999999996
2020-05-01,35.36
2020-05-02,55.8
2020-05-03,28.560000000000002
2020-05-04,14.08
2020-05-05,21.24
2020-05-06,34.71
2020-05-07,38.64
2020-05-08,53.900000000000006
2020-05-09,39.96
2020-05-10,44.18
2020-05-11,11.76
2020-05-12,32.43
2020-05-13,25.840000000000003
2020-05-14,33.629999999999995
2020-05-15,20.09
2020-05-16,20.4
2020-05-17,40.47
2020-05-18,39.160000000000004
2020-05-19,22.05
2020-05-20,18.5
2020-05-21,31.740000000000002
2020-05-22,15.99
2020-05-23,69.0
2020-05-24,64.38
2020-05-25,8.84
2020-05-26,26.8
2020-05-27,21.0
2020-05-28,21.200000000000003
2020-05-29,70.0
2020-05-30,22.549999999999997
2020-05-31,31.740000000000002
