date,/m/05w_j,batch_id
2021-05-09 00:00:00,30,1
2021-05-09 01:00:00,8,1
2021-05-09 02:00:00,38,1
2021-05-09 03:00:00,33,1
2021-05-09 04:00:00,34,1
2021-05-09 05:00:00,68,1
2021-05-09 06:00:00,43,1
2021-05-09 07:00:00,43,1
2021-05-09 08:00:00,46,1
2021-05-09 09:00:00,36,1
2021-05-09 10:00:00,27,1
2021-05-09 11:00:00,37,1
2021-05-09 12:00:00,35,1
2021-05-09 13:00:00,38,1
2021-05-09 14:00:00,43,1
2021-05-09 15:00:00,35,1
2021-05-09 16:00:00,37,1
2021-05-09 17:00:00,45,1
2021-05-09 18:00:00,48,1
2021-05-09 19:00:00,36,1
2021-05-09 20:00:00,41,1
2021-05-09 21:00:00,49,1
2021-05-09 22:00:00,29,1
2021-05-09 23:00:00,16,1
2021-05-10 00:00:00,35,1
2021-05-10 01:00:00,56,1
2021-05-10 02:00:00,58,1
2021-05-10 03:00:00,16,1
2021-05-10 04:00:00,31,1
2021-05-10 05:00:00,79,1
2021-05-10 06:00:00,67,1
2021-05-10 07:00:00,85,1
2021-05-10 08:00:00,83,1
2021-05-10 09:00:00,53,1
2021-05-10 10:00:00,57,1
2021-05-10 11:00:00,64,1
2021-05-10 12:00:00,63,1
2021-05-10 13:00:00,70,1
2021-05-10 14:00:00,59,1
2021-05-10 15:00:00,67,1
2021-05-10 16:00:00,56,1
2021-05-10 17:00:00,62,1
2021-05-10 18:00:00,46,1
2021-05-10 19:00:00,45,1
2021-05-10 20:00:00,45,1
2021-05-10 21:00:00,43,1
2021-05-10 22:00:00,31,1
2021-05-10 23:00:00,35,1
2021-05-11 00:00:00,47,1
2021-05-11 01:00:00,46,1
2021-05-11 02:00:00,58,1
2021-05-11 03:00:00,46,1
2021-05-11 04:00:00,65,1
2021-05-11 05:00:00,70,1
2021-05-11 06:00:00,49,1
2021-05-11 07:00:00,80,1
2021-05-11 08:00:00,75,1
2021-05-11 09:00:00,54,1
2021-05-11 10:00:00,62,1
2021-05-11 11:00:00,53,1
2021-05-11 12:00:00,46,1
2021-05-11 13:00:00,61,1
2021-05-11 14:00:00,54,1
2021-05-11 15:00:00,52,1
2021-05-11 16:00:00,49,1
2021-05-11 17:00:00,57,1
2021-05-11 18:00:00,65,1
2021-05-11 19:00:00,45,1
2021-05-11 20:00:00,40,1
2021-05-11 21:00:00,67,1
2021-05-11 22:00:00,26,1
